frame_index,worker_model_count,worker_tid,model_ordinal,obstacle_id,model_duration_ms,inference_count,inference_sum_ms,running_ms,blocked_ms,runnable_ms,unknown_ms,max_runnable_ms,cpu_list,running_segment_count,stack_sample_count,stack_categories
886,1,1646946,1,27,81.667424,3,61.172736,13.834423385560513,63.925000256858766,3.90800042077899,0,0.3909999504685402,0;1;2;3;4;5;7;8,143,1,libtorch CPU路径:1
886,2,1646948,1,28,51.508576,2,42.872896,8.55357595719397,41.86100047081709,1.0939995991066098,0,0.29500003438442945,0;1;2;3,102,1,libtorch CUDA路径:1
886,2,1646948,2,72,48.987456,3,35.533280000000005,12.01745611615479,32.87900041323155,4.09099948592484,0,0.7469999836757779,0;1;2;3,129,1,其他路径:1
886,3,1646942,1,26,84.579488,3,75.740544,12.284488417208195,67.91200023144484,4.3829993810504675,0,0.5380000220611691,0;1;2;3;4;5;6;7,149,0,
886,3,1646942,2,74,14.476,2,11.578368000000001,7.878000265918672,5.1120000425726175,1.4859996736049652,0,0.26000000070780516,0;2,70,1,libtorch CPU路径:1
886,3,1646942,3,78,10.989664,3,8.843136,8.887664182111621,1.9210000755265355,0.1809997484087944,0,0.03999995533376932,1;2;3,18,2,libtorch CPU路径:1;其他路径:1
886,4,1646959,1,29,56.398016,2,50.3168,8.79301584791392,45.932000037282705,1.6730001661926508,0,0.7770000956952572,0;1;2;3,99,1,libtorch CUDA路径:1
886,4,1646959,2,69,38.694048,2,28.812544000000003,9.131047525443137,26.054000249132514,3.509000292979181,0,0.9899999713525176,0;1;2;3,86,1,libtorch CUDA路径:1
886,4,1646959,3,73,16.15696,3,13.57008,11.32095989305526,1.4079995453357697,3.4280004911124706,0,1.8530000234022737,1;8;10,30,1,libtorch CPU路径:1
886,4,1646959,4,77,10.820768,3,8.399232,9.203768335282803,1.4390000142157078,0.1779997255653143,0,0.048999907448887825,10,9,1,libtorch CPU路径:1
887,1,1646943,1,27,91.539264,3,83.84086400000001,12.208264786750078,76.14600018132478,3.184998990036547,0,0.8819999638944864,0;1;2;3,109,0,
887,2,1646947,1,28,61.073696,2,53.016704000000004,8.047696435824037,52.36700002569705,0.658999546431005,0,0.057999975979328156,1;2;3;4;5;6;7,68,2,libtorch CPU路径:1;其他路径:1
887,2,1646947,2,72,52.753952,3,49.148448,12.416952406056225,35.67900019697845,4.657999379560351,0,2.326000016182661,0;1;2;3,68,3,CUDA流同步:1;cuBLASLt启发式查询:1;libtorch CPU路径:1
887,3,1646944,1,26,98.163424,3,85.57395199999999,12.632423778995872,83.06800038553774,2.4629997787997127,0,0.1900000497698784,0;1;2;3,109,0,
887,3,1646944,2,74,15.250048,2,12.912032,6.896048318594694,5.569999571889639,2.7840001275762916,0,1.158999977633357,0;2;3,66,1,libtorch CPU路径:1
887,3,1646944,3,78,8.780224,3,6.685184,7.75422400329262,0.8460000390186906,0.1799999736249447,0,0.08200004231184721,0,8,0,
887,4,1646955,1,29,46.193664,2,38.066048,7.959663402289152,35.81600042525679,2.418000134639442,0,0.7850000401958823,0;1;2;3;4;7,71,1,其他路径:1
887,4,1646955,2,69,62.286944,2,50.305792000000004,9.024944039992988,48.581999843008816,4.680000129155815,0,1.1419999646022916,0;1;2;3,82,1,libtorch CPU路径:1
887,4,1646955,3,73,19.048288,3,17.231488,8.846288314089179,1.9409997621551156,8.260999922640622,0,7.648000027984381,0;1;2,33,0,
887,4,1646955,4,77,15.5672,3,13.124768,8.131200331263244,7.297999924048781,0.13799977023154497,0,0.021999934688210487,0;2,13,2,libtorch CPU路径:1;其他路径:1
888,1,1646953,1,27,119.914016,3,114.032544,15.270015923306346,89.61000049021095,15.033999574370682,0,2.4690000573173165,0;1;2;3;6;7,132,2,PI互斥锁慢路径:1;libtorch CUDA路径:1
888,2,1646959,1,28,104.248256,2,99.46569600000001,13.169256271794438,54.032999207265675,37.04600059427321,0,24.654999957419932,0;2;3;8,105,1,cuBLASLt启发式查询:1
888,2,1646959,2,72,105.011552,3,95.33084799999999,17.28155300952494,74.11399972625077,13.615999254398048,0,4.3880000011995435,0;1;3,109,1,libtorch CPU路径:1
888,3,1646949,1,26,136.39312,3,127.980544,15.507120755501091,99.20800023246557,21.67799905873835,0,4.5819999650120735,0;2;3,156,2,libtorch CPU路径:1;读写锁读锁获取:1
888,3,1646949,2,74,87.687744,2,81.912608,11.557744117453694,63.89399990439415,12.236000038683414,0,2.271000063046813,0;1;3,64,1,CUDA异步内存复制:1
