run_id,time_s,relative_to_t1_s,x_m,y_m,speed_mps,source_file,source_line
202607201611,1784535176.31802,-12.84145188331604,-448.3107299804688,-31.55069541931152,5.105756465077929,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,542
202607201611,1784535176.424027,-12.735445022583008,-447.8268737792969,-31.3757495880127,5.184750355485051,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,543
202607201611,1784535176.5299,-12.629571914672852,-447.3313598632812,-31.2010612487793,5.320056213339629,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,544
202607201611,1784535176.65917,-12.500302076339722,-446.818115234375,-31.0247631072998,5.526941205418806,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,545
202607201611,1784535176.76896,-12.390511989593506,-446.2798767089844,-30.84497261047363,5.803311382888992,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,546
202607201611,1784535176.875634,-12.283838033676147,-445.7205810546875,-30.66347122192383,5.883252097537658,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,547
202607201611,1784535176.980086,-12.179385900497437,-445.1343688964844,-30.47941017150879,6.655125256952177,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,548
202607201611,1784535177.093331,-12.06614089012146,-444.4500427246094,-30.27072715759277,7.51358882266344,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,549
202607201611,1784535177.220751,-11.938720941543579,-443.7059936523438,-30.05058097839355,7.852430392468863,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,550
202607201611,1784535177.335203,-11.82426905632019,-442.9541625976562,-29.8342342376709,7.772705997080048,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,551
202607201611,1784535177.455742,-11.70373010635376,-442.2190856933594,-29.62905120849609,7.504764512809165,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,552
202607201611,1784535177.559279,-11.60019302368164,-441.5136108398438,-29.43840789794922,7.143766560091157,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,553
202607201611,1784535177.674932,-11.484539985656738,-440.8395080566406,-29.26198577880859,6.890576736550282,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,554
202607201611,1784535177.789613,-11.369858980178833,-440.1860046386719,-29.09654426574707,6.4039704714520855,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,555
202607201611,1784535177.898733,-11.260739088058472,-439.6171875,-28.95799446105957,5.4818003385572185,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,556
202607201611,1784535178.003311,-11.156161069869995,-439.2100219726562,-28.86128807067871,3.158464568319382,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,557
202607201611,1784535178.106325,-11.053147077560425,-439.0233764648438,-28.82210922241211,0.9006057949501488,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,558
202607201611,1784535178.208169,-10.951303005218506,-439.0111694335938,-28.82048225402832,0.0018007933269228288,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,559
202607201611,1784535178.316513,-10.842958927154541,-438.9849243164062,-28.81452751159668,0.41515203191402283,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,560
202607201611,1784535178.432881,-10.726590871810913,-438.93603515625,-28.80369567871094,0.5643835544355489,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,561
202607201611,1784535178.538308,-10.621164083480835,-438.8671875,-28.78970909118652,0.8521579669475879,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,562
202607201611,1784535178.643146,-10.516325950622559,-438.7622680664062,-28.77038955688477,1.2411999720243347,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,563
202607201611,1784535178.744096,-10.41537594795227,-438.6200256347656,-28.74358558654785,1.6370594466092667,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,564
202607201611,1784535178.845767,-10.31370496749878,-438.437255859375,-28.71133804321289,2.0862185149507635,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,565
202607201611,1784535178.948832,-10.210639953613281,-438.1994018554688,-28.67232322692871,2.70264802145839,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,567
202607201611,1784535179.05477,-10.10470199584961,-437.8926086425781,-28.62599563598633,3.4524080272681577,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,568
202607201611,1784535179.162504,-9.996968030929565,-437.52099609375,-28.56976318359375,3.9198319398247636,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,569
202607201611,1784535179.272837,-9.886635065078735,-437.1372680664062,-28.51032829284668,3.806450999294925,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,570
202607201611,1784535179.376593,-9.782878875732422,-436.7779541015625,-28.45713996887207,3.490003621493315,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,571
202607201611,1784535179.480701,-9.678771018981934,-436.4519958496094,-28.41234016418457,3.1360750082725075,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,572
202607201611,1784535179.590501,-9.568970918655396,-436.1608581542969,-28.37236595153809,2.784514709930529,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,573
202607201611,1784535179.696293,-9.463178873062134,-435.9036865234375,-28.33580589294434,2.451282636253634,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,574
202607201611,1784535179.811313,-9.348159074783325,-435.6783142089844,-28.30278587341309,2.141096204046122,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,575
202607201611,1784535179.917335,-9.24213695526123,-435.4822692871094,-28.27356910705566,1.8553390396555203,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,576
202607201611,1784535180.019622,-9.13984990119934,-435.3892517089844,-28.25942611694336,0.006617670256206995,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,577
202607201611,1784535180.126284,-9.033188104629517,-435.3704528808594,-28.25674247741699,0.33013581656263014,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,578
202607201611,1784535180.232788,-8.926683902740479,-435.3264770507812,-28.25005531311035,0.5482491305004653,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,579
202607201611,1784535180.34278,-8.816691875457764,-435.2683410644531,-28.24088859558105,0.6671973784841712,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,580
202607201611,1784535180.447336,-8.712136030197144,-435.1988830566406,-28.22808837890625,0.766518170541566,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,581
202607201611,1784535180.551105,-8.608366966247559,-435.103271484375,-28.21063995361328,1.1621585164748198,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,582
202607201611,1784535180.655113,-8.504359006881714,-434.9697265625,-28.18613624572754,1.5361165546222533,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,583
202607201611,1784535180.762487,-8.396985054016113,-434.7996520996094,-28.1544132232666,1.9372239902602655,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,584
202607201611,1784535180.885993,-8.273478984832764,-434.5785827636719,-28.11260223388672,2.5374839923788644,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,585
202607201611,1784535180.988478,-8.17099404335022,-434.291015625,-28.05743598937988,3.276540585366002,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,586
202607201611,1784535181.091078,-8.06839394569397,-433.9294128417969,-27.98740577697754,4.002661026255226,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,587
202607201611,1784535181.194293,-7.965178966522217,-433.4990844726562,-27.90320777893066,4.696679478674763,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,588
202607201611,1784535181.321333,-7.838139057159424,-433.0030517578125,-27.80681610107422,5.32116481471655,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,589
202607201611,1784535181.424706,-7.734766006469727,-432.4785766601562,-27.71172142028809,5.262822484980966,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,590
202607201611,1784535181.54297,-7.616502046585083,-431.9588317871094,-27.62368583679199,5.237554453338271,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,591
202607201611,1784535181.649158,-7.510313987731934,-431.4371032714844,-27.54163932800293,5.270507843931013,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,592
202607201611,1784535181.760093,-7.399379014968872,-430.9089050292969,-27.46512413024902,5.340175112363606,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,593
202607201611,1784535181.877669,-7.2818028926849365,-430.3717041015625,-27.39578628540039,5.431064133773243,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,594
202607201611,1784535181.982437,-7.177035093307495,-429.8228149414062,-27.33342933654785,5.5566483717385875,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,595
202607201611,1784535182.088863,-7.070609092712402,-429.2582397460938,-27.2777271270752,5.723608265751795,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,596
