frame_index,input_seq,callback_tid,execution_ms,callback_running_ms,callback_blocked_ms,callback_runnable_ms,unknown_ms,stack_samples_all_frame_tids,stack_samples_callback,sched_context_events
903,1539,1645404,144.194528,10.392527910880744,133.64199979696423,0.1600002869963646,0.0,11,1,2142
904,1540,1645396,137.90608,11.601080070249736,124.73700020927936,1.5679997159168124,0.0,13,2,2031
905,1541,1645396,134.574848,10.980847873724997,115.30099995434284,8.29300016630441,0.0,10,0,1447
906,1542,1645396,136.838272,11.238271952606738,121.03999999817461,4.560000030323863,0.0,12,1,1225
907,1543,1645396,149.682624,10.723624029196799,137.7049998845905,1.254000118933618,0.0,11,2,1979
908,1544,1645396,147.038752,11.498752166517079,132.29300000239164,3.2469998113811016,0.0,8,1,2184
915,1551,1645392,133.79856,11.86856022104621,118.84399992413819,3.085999866016209,0.0,11,1,2187
916,1552,1645392,134.431296,11.230296222493052,123.03000001702458,0.17099978867918253,0.0,12,1,1929
917,1553,1645397,132.147712,11.423711781390011,120.53300021216273,0.19099994096904993,0.0,15,2,2342
918,1554,1645397,132.78176,10.456760181114078,122.07600008696318,0.24899968411773443,0.0,10,1,2004
919,1555,1645397,131.586144,11.016143835149705,119.9750000378117,0.5950001068413258,0.0,8,1,2433
920,1556,1645392,137.061696,11.15869591012597,124.42300003021955,1.4800000935792923,0.0,11,1,2369
921,1557,1645392,144.9104,10.799399926327169,131.95700012147427,2.1539999870583415,0.0,10,1,2385
922,1558,1645392,135.610368,12.035367777571082,122.39599984604865,1.179000362753868,0.0,9,1,2098
923,1559,1645396,138.762656,11.345655657351017,126.61599996499717,0.8010003948584199,0.0,12,1,2506
