planning_seq,reuse_count,first_control_seq,last_control_seq,max_planning_age_ms
536,10,9484,9493,93.92428398132324
537,10,9494,9503,101.27568244934082
538,10,9504,9513,99.3490219116211
539,10,9514,9523,100.54969787597656
540,10,9524,9533,101.05681419372559
541,10,9534,9543,99.94912147521973
542,12,9544,9555,112.77151107788086
543,9,9556,9564,87.23330497741699
544,11,9565,9575,111.73295974731445
545,9,9576,9584,85.53361892700195
546,9,9585,9593,86.38143539428711
547,10,9594,9603,95.94893455505371
548,10,9604,9613,94.55561637878418
549,10,9614,9623,96.0078239440918
550,11,9624,9634,106.43267631530762
551,10,9635,9644,96.99630737304688
552,10,9645,9654,96.44651412963867
553,9,9655,9663,90.03567695617676
554,10,9664,9673,94.66099739074707
555,10,9674,9683,97.50938415527344
556,10,9684,9693,93.69826316833496
557,11,9694,9704,109.88903045654297
558,10,9705,9714,101.46498680114746
559,10,9715,9724,96.96412086486816
560,10,9725,9734,94.02918815612793
561,10,9735,9744,98.54555130004883
562,9,9745,9753,90.92593193054199
563,10,9754,9763,95.08347511291504
564,10,9764,9773,96.4350700378418
565,20,9774,9793,192.58761405944824
566,17,9794,9810,169.58355903625488
567,17,9811,9827,170.99928855895996
568,8,9828,9835,72.09610939025879
569,8,9836,9843,75.41823387145996
570,8,9844,9851,75.03581047058105
571,10,9852,9861,99.10750389099121
572,6,9862,9867,58.32409858703613
573,10,9868,9877,94.83098983764648
574,7,9878,9884,72.05748558044434
575,7,9885,9891,65.16742706298828
576,7,9892,9898,66.27488136291504
577,8,9899,9906,73.89688491821289
578,9,9907,9915,82.81850814819336
579,9,9916,9924,87.69440650939941
580,10,9925,9934,98.33407402038574
581,11,9935,9945,103.20615768432617
582,20,9946,9965,201.63297653198242
583,7,9966,9972,67.2309398651123
584,16,9973,9988,153.5956859588623
585,9,9989,9997,85.2353572845459
586,7,9998,10004,70.17683982849121
587,9,10005,10013,84.82766151428223
588,8,10014,10021,78.92298698425293
589,8,10022,10029,74.57280158996582
590,8,10030,10037,74.52917098999023
591,8,10038,10045,72.77464866638184
592,9,10046,10054,82.25059509277344
593,11,10055,10065,104.96282577514648
594,10,10066,10075,100.00181198120117
595,10,10076,10085,92.79942512512207
596,10,10086,10095,99.63488578796387
597,8,10096,10103,71.67410850524902
598,10,10104,10113,99.97224807739258
599,10,10114,10123,96.90690040588379
600,9,10124,10132,87.6917839050293
601,13,10133,10145,123.03519248962402
602,8,10146,10153,79.69951629638672
603,10,10154,10163,97.07188606262207
604,11,10164,10174,104.59375381469727
605,9,10175,10183,91.91226959228516
606,10,10184,10193,100.21853446960449
607,10,10194,10203,91.63880348205566
608,9,10204,10212,88.0880355834961
609,14,10213,10226,133.26668739318848
610,7,10227,10233,67.11435317993164
611,10,10234,10243,97.45335578918457
612,10,10244,10253,96.49658203125
613,9,10254,10262,86.29417419433594
614,10,10263,10272,91.58754348754883
615,12,10273,10284,112.04266548156738
616,9,10285,10293,86.47656440734863
617,10,10294,10303,103.35564613342285
618,11,10304,10314,117.39873886108398
619,8,10315,10322,71.64168357849121
620,10,10323,10332,94.7728157043457
621,11,10333,10343,102.94914245605469
622,9,10344,10352,94.96259689331055
623,11,10353,10363,102.87666320800781
624,9,10364,10372,89.46776390075684
625,11,10373,10383,102.19025611877441
626,9,10384,10392,90.50679206848145
627,11,10393,10403,102.23913192749023
628,9,10404,10412,90.0430679321289
629,12,10413,10424,110.90421676635742
630,9,10425,10433,89.07961845397949
