planning_seq,planning_start,planning_pub_time,input_prediction_seq,prediction_timestamp,lidar_timestamp,planning_data_age_ms,planning_interval_ms,trajectory_point_count,first_v,first_a,decision_type
571,1788414545.154003620,1788414545.167391777,573,1788414545.153847218,1788414544931150804,236.240864,112.285614,136,11.707763257,0.048412537,cruise
572,1788414545.262848139,1788414545.277643919,574,1788414545.262664080,1788414545031734598,245.909452,110.252142,136,11.712877488,0.038439131,cruise
573,1788414545.338488579,1788414545.353513718,575,1788414545.338227987,1788414545134780518,218.733311,75.869799,139,11.713641959,0.038295377,cruise
574,1788414545.455097198,1788414545.470244646,576,1788414545.454893589,1788414545231337441,238.907099,116.730928,136,11.720084159,0.045104784,cruise
575,1788414545.552148819,1788414545.569053888,577,1788414545.551996708,1788414545331265378,237.788677,98.809242,136,11.724164580,0.036492641,cruise
576,1788414545.647436619,1788414545.664177179,578,1788414545.647104740,1788414545431735601,232.441664,95.123291,136,11.728186290,0.043931293,cruise
577,1788414545.749998093,1788414545.769872904,579,1788414545.749789715,1788414545531001821,238.871098,105.695724,136,11.732535036,0.043043071,cruise
578,1788414545.843654156,1788414545.862427473,580,1788414545.843388081,1788414545631554835,230.872631,92.554569,139,11.734130503,0.040670675,cruise
579,1788414545.963163853,1788414545.978294611,581,1788414545.962966442,1788414545731559006,246.735811,115.867138,136,11.740356797,0.031785460,cruise
580,1788414546.058076382,1788414546.077274084,582,1788414546.057867765,1788414545836701131,240.572929,98.979473,136,11.743481493,0.030708434,cruise
581,1788414546.157848597,1788414546.171555519,583,1788414546.157564163,1788414545932127331,239.428282,94.281435,136,11.746536395,0.030387621,cruise
582,1788414546.239861965,1788414546.255897045,584,1788414546.239643574,1788414546031439441,224.457741,84.341526,139,11.747139664,0.030237630,cruise
583,1788414546.343518972,1788414546.360589981,585,1788414546.343208790,1788414546131517928,229.072094,104.692936,136,11.751920309,0.029629712,cruise
584,1788414546.450281143,1788414546.468487740,586,1788414546.448786020,1788414546231895329,236.592531,107.897758,136,11.754844237,0.028848309,cruise
585,1788414546.560324907,1788414546.576083660,587,1788414546.560020685,1788414546331252009,244.831800,107.595921,136,11.758293711,0.029247670,cruise
586,1788414546.638721704,1788414546.655663252,588,1788414546.638389587,1788414546431306651,224.356413,79.579592,139,11.758859747,0.028869316,cruise
587,1788414546.744269133,1788414546.759822845,589,1788414546.743978024,1788414546531997975,227.824926,104.159594,136,11.763295177,0.027012013,cruise
588,1788414546.852187157,1788414546.870946646,590,1788414546.852021217,1788414546631834330,239.112377,111.123800,136,11.765980950,0.026696802,cruise
589,1788414546.945123672,1788414546.958847523,591,1788414546.944873810,1788414546731474753,227.372885,87.900877,136,11.768581300,0.025296715,cruise
590,1788414547.042335272,1788414547.065201521,592,1788414547.041961670,1788414546831677264,233.524323,106.353998,139,11.769617380,0.025780935,cruise
591,1788414547.155177355,1788414547.169259071,593,1788414547.154248238,1788414546931844360,237.414837,104.057550,136,11.772326278,-0.002887162,cruise
592,1788414547.242134094,1788414547.259890318,594,1788414547.241939783,1788414547032358558,227.531672,90.631247,136,11.771674613,-0.010145990,cruise
593,1788414547.344289064,1788414547.362767220,595,1788414547.344040632,1788414547131942196,230.825186,102.876902,136,11.770638929,-0.010567658,cruise
594,1788414547.452215672,1788414547.472393751,596,1788414547.452029467,1788414547231416062,240.977764,109.626532,136,11.769655970,-0.009090962,cruise
595,1788414547.561129332,1788414547.579576492,597,1788414547.560916424,1788414547331151762,248.424530,107.182741,136,11.768534253,-0.009462785,cruise
596,1788414547.645363808,1788414547.663710356,598,1788414547.643651724,1788414547431985968,231.724501,84.133863,136,11.767806119,-0.008506998,cruise
597,1788414547.744499683,1788414547.759239912,599,1788414547.744052887,1788414547531213623,228.026390,95.529556,136,11.766881073,-0.009999433,cruise
598,1788414547.846275091,1788414547.860221386,600,1788414547.846029282,1788414547631872506,228.348970,100.981474,136,11.765951199,-0.008683172,cruise
599,1788414547.946432590,1788414547.963902712,601,1788414547.946078777,1788414547731639589,232.263088,103.681326,136,11.765042417,-0.009576436,cruise
600,1788414548.044902802,1788414548.065150738,602,1788414548.044207335,1788414547830917385,234.233379,101.248026,136,11.764177539,-0.007721137,cruise
601,1788414548.144334793,1788414548.159840345,603,1788414548.144052029,1788414547931588080,228.252172,94.689608,136,11.763359340,-0.008376801,cruise
602,1788414548.249190331,1788414548.263406277,604,1788414548.247978449,1788414548031922273,231.484175,103.565931,136,11.762527077,-0.008268473,cruise
603,1788414548.339895010,1788414548.361233950,605,1788414548.338661194,1788414548131403565,229.830503,97.827673,139,11.762212988,-0.007935473,cruise
604,1788414548.438546419,1788414548.454071522,606,1788414548.438337326,1788414548231072802,222.998857,92.837572,139,11.761446787,-0.007388217,cruise
605,1788414548.552974224,1788414548.571889639,607,1788414548.552757263,1788414548331779799,240.109682,117.818117,136,11.760260157,-0.007563808,cruise
606,1788414548.651741982,1788414548.671026945,608,1788414548.651495695,1788414548431675419,239.351511,99.137306,136,11.759506563,-0.007507853,cruise
607,1788414548.752502441,1788414548.775394201,609,1788414548.752153397,1788414548531334477,244.059801,104.367256,136,11.758767748,-0.007268624,cruise
608,1788414548.845567465,1788414548.859910250,610,1788414548.845392704,1788414548631676699,228.233576,84.516048,136,11.758051670,-0.007053053,cruise
609,1788414548.947963238,1788414548.972107410,611,1788414548.946614027,1788414548731024152,241.083384,112.197161,136,11.757334881,-0.007282446,cruise
610,1788414549.051836967,1788414549.071952820,612,1788414549.048293829,1788414548831893248,240.059614,99.845409,136,11.756566505,-0.008085058,cruise
611,1788414549.155099869,1788414549.171066046,613,1788414549.154906988,1788414548931531752,239.534378,99.113226,136,11.755775015,-0.007744771,cruise
612,1788414549.256114483,1788414549.270616293,614,1788414549.255968809,1788414549031534074,239.082098,99.550247,136,11.754916790,-0.006720550,cruise
613,1788414549.357156515,1788414549.373608112,615,1788414549.356946945,1788414549131179561,242.428541,102.991819,136,11.754251203,-0.006591166,cruise
614,1788414549.448457956,1788414549.472634792,616,1788414549.448177814,1788414549231319704,241.314888,99.026680,136,11.753726158,-0.006515049,cruise
615,1788414549.543298483,1788414549.557669640,617,1788414549.543050289,1788414549331815053,225.854397,85.034847,136,11.753115459,-0.005699691,cruise
616,1788414549.648344755,1788414549.664876461,618,1788414549.648029804,1788414549431340043,233.536482,107.206821,136,11.752529178,-0.006025082,cruise
617,1788414549.752180815,1788414549.765183210,619,1788414549.751967907,1788414549531793877,233.389378,100.306749,136,11.751902937,-0.006500351,cruise
618,1788414549.852804422,1788414549.871312380,620,1788414549.852618694,1788414549631825536,239.486933,106.129169,136,11.751231975,-0.006645647,cruise
619,1788414549.941359282,1788414549.957011938,621,1788414549.941143751,1788414549731580331,225.431442,85.699558,139,11.750965939,-0.006642165,cruise
620,1788414550.064453363,1788414550.085948229,622,1788414550.064057350,1788414549832119685,253.828526,128.936291,136,11.749798900,-0.006185163,cruise
621,1788414550.156732559,1788414550.173860550,623,1788414550.156474113,1788414549933407149,240.453243,87.912321,136,11.749215352,-0.005485747,cruise
622,1788414550.248564720,1788414550.262597084,624,1788414550.248290300,1788414550031119777,231.477261,88.736534,136,11.748794581,-0.004882829,cruise
623,1788414550.348074198,1788414550.360717058,625,1788414550.345347166,1788414550131827880,228.888988,98.119974,136,11.748281359,-0.005375761,cruise
624,1788414550.442525387,1788414550.457170010,626,1788414550.442285538,1788414550231686781,225.483418,96.452951,139,11.748058752,-0.005529831,cruise
625,1788414550.556211710,1788414550.569974899,627,1788414550.556054831,1788414550330983579,238.991261,112.804890,136,11.747032881,-0.005820635,cruise
626,1788414550.643768072,1788414550.659824610,628,1788414550.643590212,1788414550432104250,227.720499,89.849710,136,11.746542240,-0.006320836,cruise
627,1788414550.752085447,1788414550.766348124,629,1788414550.751970530,1788414550531243461,235.104561,106.523514,136,11.745929082,-0.005943218,cruise
628,1788414550.848075390,1788414550.864350319,630,1788414550.847775698,1788414550631835935,232.514381,98.002195,136,11.745337620,-0.005884656,cruise
629,1788414550.950014591,1788414550.969757080,631,1788414550.948669434,1788414550731492310,238.264799,105.406761,136,11.744764787,-0.005574256,cruise
630,1788414551.054062843,1788414551.073659420,632,1788414551.053851128,1788414550831783125,241.876364,103.902340,136,11.744198894,-0.005741128,cruise
631,1788414551.151656628,1788414551.164761305,633,1788414551.151477814,1788414550931149736,233.611584,91.101885,136,11.743556446,-0.006815304,cruise
632,1788414551.252302170,1788414551.269626856,634,1788414551.252124310,1788414551031211600,238.415241,104.865551,136,11.742890303,-0.006501888,cruise
633,1788414551.356206894,1788414551.372555256,635,1788414551.356033802,1788414551131709363,240.845919,102.928400,136,11.742158568,-0.005869730,cruise
634,1788414551.444974184,1788414551.460102320,636,1788414551.444731236,1788414551231455982,228.646278,87.547064,136,11.741667089,-0.006608697,cruise
635,1788414551.547508717,1788414551.561306715,637,1788414551.547374964,1788414551332335853,228.970766,101.204395,136,11.741036124,-0.006009849,cruise
636,1788414551.656389713,1788414551.670516968,638,1788414551.653533936,1788414551431856618,238.660336,109.210253,136,11.740281908,-0.006484257,cruise
637,1788414551.761744499,1788414551.777487040,639,1788414551.761508942,1788414551531815860,245.671034,106.970072,136,11.739630090,-0.006552244,cruise
638,1788414551.865824699,1788414551.889516354,640,1788414551.865622520,1788414551631385082,258.131266,112.029314,136,11.738960067,-0.006847820,cruise
639,1788414551.960017681,1788414551.986108303,641,1788414551.957505226,1788414551740551817,245.556355,96.591949,136,11.738276133,-0.006819338,cruise
640,1788414552.048257351,1788414552.068562984,642,1788414552.047707081,1788414551831761033,236.801863,82.454681,136,11.737736443,-0.006631791,cruise
641,1788414552.148312330,1788414552.166593075,643,1788414552.147978783,1788414551931770927,234.822273,98.030090,136,11.737103497,-0.006026634,cruise
642,1788414552.245100260,1788414552.258663893,644,1788414552.244111538,1788414552031794893,226.868868,92.070818,136,11.736459145,-0.006707677,cruise
643,1788414552.348272324,1788414552.360669851,645,1788414552.347951174,1788414552131942676,228.727102,102.005959,136,11.735761838,-0.007255704,cruise
644,1788414552.440809965,1788414552.454230785,646,1788414552.440161943,1788414552231217230,223.013639,93.560934,136,11.735030019,-0.007381040,cruise
645,1788414552.551446199,1788414552.565232277,647,1788414552.551221132,1788414552331949449,233.282804,111.001492,136,11.734288644,-0.007446399,cruise
646,1788414552.656291962,1788414552.676740170,648,1788414552.656075239,1788414552431140889,245.599270,111.507893,136,11.733385687,-0.007584898,cruise
647,1788414552.745623827,1788414552.769278526,649,1788414552.745380640,1788414552531322606,237.955809,92.538357,136,11.732777532,-0.007633122,cruise
648,1788414552.838314533,1788414552.856371880,650,1788414552.838081360,1788414552631132631,225.239277,87.093353,139,11.732472111,-0.007635442,cruise
649,1788414552.951762199,1788414552.967277765,651,1788414552.951570272,1788414552731128070,236.149788,110.905886,136,11.731251395,-0.007615850,cruise
650,1788414553.043952227,1788414553.068346024,652,1788414553.041949034,1788414552832623779,235.722065,101.068258,136,11.730461631,-0.008174970,cruise
651,1788414553.149078131,1788414553.162991047,653,1788414553.148746967,1788414552932136339,230.854511,94.645023,136,11.729573638,-0.009580513,cruise
652,1788414553.244355202,1788414553.258411884,654,1788414553.244093895,1788414553032767216,225.644588,95.420837,136,11.728595068,-0.009696739,cruise
653,1788414553.339797974,1788414553.354435682,655,1788414553.338495255,1788414553131666411,222.769260,96.023798,139,11.728199460,-0.009852820,cruise
654,1788414553.438988686,1788414553.452944040,656,1788414553.438682795,1788414553231368688,221.575260,98.508358,139,11.727209878,-0.009941147,cruise
655,1788414553.543466091,1788414553.562848330,657,1788414553.543260574,1788414553332197950,230.650425,109.904289,136,11.725567477,-0.011250981,cruise
656,1788414553.651878834,1788414553.666156530,658,1788414553.648092270,1788414553431773371,234.383106,103.308201,136,11.724413721,-0.011826247,cruise
657,1788414553.752294540,1788414553.771972179,659,1788414553.752156496,1788414553531113018,240.859270,105.815649,136,11.723239715,-0.011653434,cruise
658,1788414553.864403963,1788414553.882546186,660,1788414553.863972425,1788414553631233321,251.312971,110.574007,136,11.721779061,-0.012569116,cruise
659,1788414553.952334404,1788414553.972682476,661,1788414553.952188492,1788414553731710473,240.972042,90.136290,136,11.720762326,-0.012942367,cruise
660,1788414554.060180902,1788414554.076510429,662,1788414554.059971094,1788414553831471853,245.038509,103.827953,136,11.719270468,-0.011703509,cruise
661,1788414554.155576944,1788414554.177052975,663,1788414554.155295849,1788414553931712880,245.340109,100.542545,136,11.718486495,-0.006602691,cruise
662,1788414554.251767635,1788414554.269963503,664,1788414554.251522779,1788414554031266852,238.696575,92.910528,136,11.717728842,-0.008532351,cruise
663,1788414554.357830048,1788414554.371305466,665,1788414554.357541561,1788414554131221393,240.083933,101.341963,136,11.716560852,-0.010670233,cruise
664,1788414554.452007771,1788414554.465537310,666,1788414554.446361065,1788414554232098638,233.438730,94.231844,136,11.715673581,-0.011347360,cruise
665,1788414554.552353382,1788414554.565027237,667,1788414554.552024603,1788414554331186965,233.840227,99.489927,136,11.714494713,-0.012232187,cruise
666,1788414554.645256996,1788414554.660840988,668,1788414554.644909382,1788414554431025561,229.815245,95.813751,136,11.713192169,-0.013338622,cruise
667,1788414554.753427029,1788414554.771843433,669,1788414554.751569748,1788414554532314438,239.529133,111.002445,136,11.711844152,-0.013621660,cruise
668,1788414554.841522694,1788414554.858638048,670,1788414554.841425896,1788414554631601308,227.036715,86.794615,136,11.710497621,-0.013308951,cruise
669,1788414554.948521376,1788414554.967531443,671,1788414554.944025993,1788414554731219864,236.311436,108.893394,136,11.709078839,-0.014557167,cruise
670,1788414555.051944494,1788414555.073327541,672,1788414555.050273180,1788414554831581606,241.745949,105.796099,136,11.707562889,-0.015762813,cruise
671,1788414555.151884317,1788414555.169133902,673,1788414555.149412870,1788414554931325285,237.808704,95.806360,136,11.705928250,-0.016931350,cruise
672,1788414555.255892038,1788414555.272767782,674,1788414555.254027843,1788414555031370947,241.396666,103.633881,136,11.704208972,-0.017453222,cruise
673,1788414555.353729725,1788414555.369333029,675,1788414555.353530407,1788414555131455336,237.877846,96.565247,136,11.702519440,-0.016336069,cruise
674,1788414555.446871281,1788414555.463057995,676,1788414555.444943905,1788414555232278677,230.779171,93.724966,136,11.700768558,-0.018678924,cruise
675,1788414555.540704489,1788414555.556358099,677,1788414555.540438890,1788414555331627745,224.730253,93.300104,136,11.697911594,-0.038453519,cruise
676,1788414555.643083811,1788414555.677760839,678,1788414555.642860174,1788414555432029268,245.731592,121.402740,136,11.694081349,-0.038143195,cruise
677,1788414555.746139288,1788414555.771470070,679,1788414555.745911121,1788414555531385736,240.084171,93.709230,136,11.690278464,-0.037914001,cruise
678,1788414555.849911213,1788414555.874088526,680,1788414555.849782467,1788414555632428904,241.659641,102.618456,136,11.686549565,-0.036663564,cruise
679,1788414555.946464539,1788414555.977328539,681,1788414555.944077253,1788414555731132444,246.196032,103.240013,136,11.685263814,0.010948592,cruise
680,1788414556.047197104,1788414556.073480844,682,1788414556.047025681,1788414555831238618,242.242098,96.152306,136,11.686250594,0.008787003,cruise
681,1788414556.146758318,1788414556.160915613,683,1788414556.146577597,1788414555931486371,229.429245,87.434769,136,11.687193787,0.010077120,cruise
682,1788414556.246821165,1788414556.262494326,684,1788414556.246579170,1788414556031973171,230.521202,101.578712,136,11.688212138,0.010291142,cruise
683,1788414556.341965914,1788414556.359776497,685,1788414556.341407299,1788414556131583800,228.192806,97.282171,136,11.689128092,0.008027767,cruise
684,1788414556.458507299,1788414556.476077557,686,1788414556.458310604,1788414556231771295,244.306087,116.301060,136,11.689935515,0.005676743,cruise
685,1788414556.540354013,1788414556.556468725,687,1788414556.540177822,1788414556331863433,224.605083,80.391169,139,11.690036144,0.005246525,cruise
686,1788414556.644604683,1788414556.662992477,688,1788414556.644172907,1788414556433206923,229.785442,106.523752,136,11.690784818,0.004979824,cruise
687,1788414556.741553068,1788414556.758328438,689,1788414556.741363287,1788414556531076338,227.252007,95.335960,139,11.690948508,0.004269661,cruise
688,1788414556.850933313,1788414556.866497278,690,1788414556.847542524,1788414556631115660,235.381603,108.168840,136,11.691558427,0.004087610,cruise
689,1788414556.960212946,1788414556.976796150,691,1788414556.960033655,1788414556732537675,244.258642,110.298872,136,11.692249169,0.006798172,cruise
690,1788414557.051934004,1788414557.081741095,692,1788414557.050715685,1788414556831262049,250.479221,104.944944,136,11.692958207,0.010174935,cruise
691,1788414557.154846668,1788414557.175908327,693,1788414557.154618979,1788414556931875268,244.033098,94.167233,136,11.693822896,0.007189675,cruise
692,1788414557.252341986,1788414557.273177385,694,1788414557.252110481,1788414557032517579,240.659714,97.269058,136,11.693476623,-0.014114863,cruise
693,1788414557.348222256,1788414557.373182774,695,1788414557.348059654,1788414557131717331,241.465330,100.005388,136,11.693571318,0.016010482,cruise
694,1788414557.447850943,1788414557.494781494,696,1788414557.441086531,1788414557231899943,262.881517,121.598721,136,11.695539929,0.023363459,cruise
695,1788414557.544348478,1788414557.566225290,697,1788414557.544034481,1788414557331663834,234.561443,71.443796,136,11.698324080,0.033898047,cruise
696,1788414557.650096178,1788414557.674203873,698,1788414557.649885178,1788414557432233335,241.970539,107.978582,136,11.701704530,0.033711164,cruise
697,1788414557.751867056,1788414557.775865555,699,1788414557.751539469,1788414557531848455,244.017124,101.661682,136,11.705004572,0.032291175,cruise
698,1788414557.861212015,1788414557.886401892,700,1788414557.860940218,1788414557631283935,255.117893,110.536337,136,11.708380858,0.024754888,cruise
699,1788414557.952788353,1788414557.980347872,701,1788414557.952613592,1788414557732447440,247.900486,93.945980,136,11.710175094,-0.000000013,cruise
700,1788414558.049549818,1788414558.077991009,702,1788414558.048026323,1788414557831652069,246.338844,97.643137,136,11.691690472,-0.369684483,cruise
701,1788414558.152180672,1788414558.175096750,703,1788414558.152024508,1788414557931249632,243.847132,97.105742,136,11.664741519,-0.169292504,cruise
702,1788414558.244521618,1788414558.283681631,704,1788414558.244176388,1788414558031039672,252.641916,108.584881,136,11.657811858,0.030708618,cruise
703,1788414558.346579552,1788414558.379742146,705,1788414558.346335888,1788414558131320009,248.422146,96.060514,136,11.663918174,0.091426844,cruise
704,1788414558.452347279,1788414558.479908943,706,1788414558.452057123,1788414558231753799,248.155117,100.166798,136,11.649712318,-0.320048828,cruise
705,1788414558.561129093,1788414558.584516287,707,1788414558.556114435,1788414558331050301,253.466129,104.607344,136,11.627329790,-0.079713041,cruise
706,1788414558.649467707,1788414558.668725491,708,1788414558.649258852,1788414558431123652,237.601757,84.209204,136,11.625753176,0.080286646,cruise
707,1788414558.750823259,1788414558.780447006,709,1788414558.750726938,1788414558532241998,248.205185,111.721516,136,11.643931321,-0.000000002,cruise
708,1788414558.849125862,1788414558.873395443,710,1788414558.848883629,1788414558631700923,241.694450,92.948437,136,11.649828153,0.000000036,cruise
709,1788414558.948207855,1788414558.967390537,711,1788414558.948057175,1788414558731486666,235.903740,93.995094,136,11.659829993,0.000000037,cruise
710,1788414559.050580025,1788414559.077724457,712,1788414559.050392866,1788414558831431731,246.292830,110.333920,136,11.669831894,0.200038696,cruise
711,1788414559.252297163,1788414559.278295517,713,1788414559.252066135,1788414558932214000,346.081495,200.571060,136,11.693836271,0.000000037,cruise
712,1788414559.439038754,1788414559.456792593,714,1788414559.438786745,1788414559031592057,425.200701,178.497076,138,11.709839294,0.120023950,cruise
713,1788414559.640368462,1788414559.677019835,715,1788414559.640042067,1788414559231779026,445.240736,220.227242,136,11.753985530,0.402805956,cruise
714,1788414559.837986231,1788414559.858348370,716,1788414559.837754726,1788414559430988229,427.360058,181.328535,138,11.846676024,0.724997581,cruise
715,1788414560.047915220,1788414560.073745728,717,1788414560.047604084,1788414559631127372,442.618370,215.397358,136,11.973083286,0.200000000,cruise
716,1788414560.256030560,1788414560.273706198,718,1788414560.252270222,1788414559831977100,441.729069,199.960470,136,12.019289730,0.243073340,cruise
717,1788414560.352361679,1788414560.373684168,719,1788414560.352080584,1788414560031109438,342.574835,99.977970,136,12.043594077,0.405004443,cruise
718,1788414560.442034960,1788414560.454966545,720,1788414560.441792250,1788414560131302976,323.663712,81.282377,136,12.094197541,0.607058680,cruise
719,1788414560.552084446,1788414560.566394091,721,1788414560.551988125,1788414560231249054,335.144997,111.427546,136,12.164993679,0.808846782,cruise
720,1788414560.637353659,1788414560.651012182,722,1788414560.637117624,1788414560331362335,319.649935,84.618092,137,12.237713898,0.969087233,cruise
721,1788414560.748337269,1788414560.762837410,723,1788414560.748138905,1788414560431413791,331.423759,111.825228,136,12.366817631,1.209315011,cruise
722,1788414560.848396540,1788414560.862458706,724,1788414560.848082542,1788414560532190694,330.267906,99.621296,136,12.399127943,0.161623425,cruise
723,1788414560.943475246,1788414560.956078053,725,1788414560.943289757,1788414560631356095,324.721813,93.619347,136,12.424097227,0.364275256,cruise
724,1788414561.047559261,1788414561.067207336,726,1788414561.047311306,1788414560731843233,335.364103,111.129284,136,12.470524753,0.564275256,cruise
725,1788414561.140110254,1788414561.160005808,727,1788414561.139966249,1788414560831830243,328.175545,92.798471,137,12.523666773,0.724275256,cruise
726,1788414561.230589628,1788414561.242656708,728,1788414561.229625225,1788414560931411029,311.245680,82.650900,136,12.606094299,0.924275256,cruise
727,1788414561.327885151,1788414561.343608141,729,1788414561.324700594,1788414561031981741,311.626434,100.951433,136,12.708521824,1.124275256,cruise
728,1788414561.423919678,1788414561.447186470,730,1788414561.423683405,1788414561131328839,315.857649,103.578329,136,12.827096707,1.247222396,cruise
729,1788414561.514390230,1788414561.527152538,731,1788414561.514090538,1788414561231477919,295.674562,79.966068,136,12.927470074,1.267428620,cruise
730,1788414561.604189157,1788414561.616075993,732,1788414561.603999853,1788414561331950967,284.125090,88.923454,136,13.054220256,1.267575023,cruise
731,1788414561.717802525,1788414561.730514765,733,1788414561.717584372,1788414561431051144,299.463511,114.438772,136,13.212355643,1.387969335,cruise
732,1788414561.812547445,1788414561.826333284,734,1788414561.812214851,1788414561531276539,295.056820,95.818520,136,13.324459008,1.409285694,cruise
733,1788414561.901012421,1788414561.914283276,735,1788414561.900811195,1788414561631744780,282.538414,87.949991,136,13.465460290,1.410739963,cruise
734,1788414561.992210150,1788414562.005427122,736,1788414561.992071152,1788414561732082444,273.344755,91.143847,136,13.578202853,1.408019786,cruise
735,1788414562.080197573,1788414562.096080542,737,1788414562.079996109,1788414561831602232,264.478445,90.653419,136,13.718721886,1.402594410,cruise
736,1788414562.166496038,1788414562.179463863,738,1788414562.166274071,1788414561931172316,248.291492,83.383322,136,13.830823616,1.399993800,cruise
737,1788414562.260208607,1788414562.272577047,739,1788414562.260058165,1788414562031242302,241.334915,93.113184,136,13.970646408,1.396326848,cruise
738,1788414562.344285250,1788414562.356613874,740,1788414562.344024897,1788414562131462182,225.151777,84.036827,136,14.084746120,1.444198097,cruise
739,1788414562.451435089,1788414562.465316057,741,1788414562.451342821,1788414562230997480,234.318495,108.702183,136,14.231777634,1.496431314,cruise
740,1788414562.560087919,1788414562.572439194,742,1788414562.559983253,1788414562331099301,241.339684,107.123137,136,14.407019679,1.428984010,cruise
741,1788414562.649214745,1788414562.661551714,743,1788414562.647897959,1788414562431605841,229.945898,89.112520,136,14.519089899,1.379667970,cruise
742,1788414562.755581141,1788414562.768077374,744,1788414562.755372524,1788414562531672852,236.404657,106.525660,136,14.654820478,1.340069403,cruise
743,1788414562.848224640,1788414562.860051155,745,1788414562.848017216,1788414562631870947,228.180170,91.973782,136,14.784907790,1.261629188,cruise
744,1788414562.948209524,1788414562.960724592,746,1788414562.948006392,1788414562731520274,229.204416,100.673437,136,14.905359512,1.147372055,cruise
745,1788414563.058513165,1788414563.070940733,747,1788414563.058336496,1788414562831606328,239.334345,110.216141,136,15.040156257,1.105349989,cruise
746,1788414563.148266077,1788414563.159417868,748,1788414563.148077965,1788414562931905235,227.512598,88.477135,136,15.124354922,1.020759546,cruise
747,1788414563.254227877,1788414563.266915798,749,1788414563.254010439,1788414563031354739,235.561132,107.497931,136,15.225413064,1.000523267,cruise
748,1788414563.342729092,1788414563.355987310,750,1788414563.342501640,1788414563132074914,223.912239,89.071512,136,15.320132274,0.893978623,cruise
749,1788414563.444441319,1788414563.456340075,751,1788414563.444205046,1788414563231461930,224.878073,100.352764,136,15.407031989,0.844012644,cruise
750,1788414563.546938896,1788414563.559197664,752,1788414563.546716452,1788414563331156867,228.040695,102.857590,136,15.486670640,0.748758316,cruise
751,1788414563.655970573,1788414563.668019772,753,1788414563.655804873,1788414563430931701,237.087965,108.822107,136,15.573678043,0.714049654,cruise
752,1788414563.744177341,1788414563.757719040,754,1788414563.743975878,1788414563531778798,225.940228,89.699268,136,15.629991630,0.687035023,cruise
753,1788414563.851864338,1788414563.866958618,755,1788414563.844444752,1788414563631160428,235.798359,109.239578,136,15.696358046,0.640292683,cruise
754,1788414563.952120781,1788414563.971023321,756,1788414563.952035666,1788414563731188900,239.834309,104.064703,136,15.757739003,0.587326380,cruise
755,1788414564.048553467,1788414564.062817335,757,1788414564.048351765,1788414563831864755,230.952501,91.794014,136,15.813466824,0.527230187,cruise
