role,actor_id,actor_type,role_name,carla_frame,carla_timestamp_sec,wall_time_unix_ns,wall_time_iso,location_x,location_y,location_z,rotation_yaw,velocity_x,velocity_y,velocity_z
ego,147,vehicle.lincoln.mkz_2017,hero,1570,157.4265741566196,1785123114747107048,2026-07-27T11:31:54.747107048+08:00,-447.77252197265625,31.62372398376465,0.03386591002345085,-20.41750717163086,7.100220680236816,-2.490650177001953,6.294250169958104e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1571,157.52657415810972,1785123114845006182,2026-07-27T11:31:54.845006182+08:00,-447.06103515625,31.373186111450195,0.03388967365026474,-19.745180130004883,7.129260063171387,-2.410132884979248,-1.821517912503623e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1572,157.62657415959984,1785123114945141865,2026-07-27T11:31:54.945141865+08:00,-446.34686279296875,31.13043212890625,0.03390790894627571,-19.097599029541016,7.148605823516846,-2.3353288173675537,2.9850004921172513e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1573,157.72657416108996,1785123115045492364,2026-07-27T11:31:55.045492364+08:00,-445.63128662109375,30.895687103271484,0.0339290052652359,-18.47330093383789,7.15881872177124,-2.2564685344696045,-9.346007914246002e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1574,157.82657416258007,1785123115145481665,2026-07-27T11:31:55.145481665+08:00,-444.91412353515625,30.669130325317383,0.0339360237121582,-17.85004425048828,7.180239200592041,-2.1745152473449707,5.054473604104714e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1575,157.9265741640702,1785123115244857889,2026-07-27T11:31:55.244857889+08:00,-444.1940002441406,30.450101852416992,0.03392335772514343,-17.232830047607422,7.216002464294434,-2.1038002967834473,1.325607286162267e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1576,158.0265741655603,1785123115344729788,2026-07-27T11:31:55.344729788+08:00,-443.46923828125,30.237979888916016,0.03389745578169823,-16.625564575195312,7.268496990203857,-2.037930965423584,1.9073485191256623e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1577,158.12657416705042,1785123115444983151,2026-07-27T11:31:55.444983151+08:00,-442.7413635253906,30.03313446044922,0.03390386328101158,-16.026046752929688,7.278909206390381,-1.9599965810775757,-1.5830993334020604e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1578,158.22657416854054,1785123115544938398,2026-07-27T11:31:55.544938398+08:00,-441.978271484375,29.827402114868164,0.03341180831193924,-15.41142463684082,8.042834281921387,-2.0685577392578125,-4.692077709478326e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1579,158.32657417003065,1785123115644883679,2026-07-27T11:31:55.644883679+08:00,-441.14361572265625,29.612173080444336,0.03300374746322632,-14.764480590820312,8.510438919067383,-2.0971622467041016,-6.313323865470011e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1580,158.42657417152077,1785123115745182474,2026-07-27T11:31:55.745182474+08:00,-440.27691650390625,29.39808464050293,0.03306734189391136,-14.101216316223145,8.787155151367188,-2.0679962635040283,-2.727508444877458e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1581,158.52657417301089,1785123115845458308,2026-07-27T11:31:55.845458308+08:00,-439.384521484375,29.187978744506836,0.033188074827194214,-13.42064094543457,9.037786483764648,-2.0201303958892822,1.659393319641822e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1582,158.626574174501,1785123115945141795,2026-07-27T11:31:55.945141795+08:00,-438.4680480957031,28.983083724975586,0.03328569233417511,-12.732441902160645,9.261977195739746,-1.9614081382751465,1.3828276905769599e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1583,158.72657417599112,1785123116045410571,2026-07-27T11:31:56.045410571+08:00,-437.5319519042969,28.784957885742188,0.03338766098022461,-12.043688774108887,9.437325477600098,-1.8869681358337402,-5.149840944795869e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1584,158.82657417748123,1785123116144881192,2026-07-27T11:31:56.144881192+08:00,-436.5858459472656,28.59617805480957,0.03357553482055664,-11.349595069885254,9.42919921875,-1.77035391330719,2.5749204723979346e-07
ego,147,vehicle.lincoln.mkz_2017,hero,1585,158.92657417897135,1785123116244773091,2026-07-27T11:31:56.244773091+08:00,-435.656005859375,28.42194366455078,0.03394830599427223,-10.660050392150879,9.162531852722168,-1.6070725917816162,2.6988982426701114e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1586,159.02657418046147,1785123116344793283,2026-07-27T11:31:56.344793283+08:00,-434.76019287109375,28.265111923217773,0.034329354763031006,-9.99305534362793,8.772201538085938,-1.4305297136306763,-3.0517576306010596e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1587,159.12657418195158,1785123116444791154,2026-07-27T11:31:56.444791154+08:00,-433.9060974121094,28.125654220581055,0.03461606800556183,-9.370677947998047,8.333573341369629,-1.2657219171524048,-2.3937225250847405e-06
ego,147,vehicle.lincoln.mkz_2017,hero,1588,159.2265741834417,1785123116545405311,2026-07-27T11:31:56.545405311+08:00,-433.0955505371094,28.002330780029297,0.03478582203388214,-8.794536590576172,7.8979172706604,-1.1152102947235107,-1.077651972991589e-06
