control_seq,control_time,planning_seq_used,planning_pub_time,planning_lidar_timestamp,planning_data_age_at_control_ms,planning_reuse_count,throttle,brake,steering
10643,1788414552.808898926,647,1788414552.769278526,1788414552531322606,277.576208,8,21.258114683,0.000000000,-5.248454067
10644,1788414552.819134235,647,1788414552.769278526,1788414552531322606,287.811518,8,21.255396896,0.000000000,-5.248762581
10645,1788414552.828966618,647,1788414552.769278526,1788414552531322606,297.643900,8,21.835920502,0.000000000,-5.249037295
10646,1788414552.839070797,647,1788414552.769278526,1788414552531322606,307.748079,8,21.594902409,0.000000000,-5.248970405
10647,1788414552.849106789,647,1788414552.769278526,1788414552531322606,317.784071,8,0.000000000,14.500000000,-5.247069608
10648,1788414552.859161377,648,1788414552.856371880,1788414552631132631,228.028774,12,0.000000000,14.500000000,-5.242158842
10649,1788414552.869065523,648,1788414552.856371880,1788414552631132631,237.932920,12,0.000000000,14.500000000,-5.235881421
10650,1788414552.879144192,648,1788414552.856371880,1788414552631132631,248.011589,12,0.000000000,14.500000000,-5.230553328
10651,1788414552.889105320,648,1788414552.856371880,1788414552631132631,257.972717,12,0.000000000,14.500000000,-5.226991094
10652,1788414552.898918867,648,1788414552.856371880,1788414552631132631,267.786264,12,0.000000000,14.500000000,-5.225089218
10653,1788414552.909214497,648,1788414552.856371880,1788414552631132631,278.081894,12,0.000000000,14.500000000,-5.224378139
10654,1788414552.918833733,648,1788414552.856371880,1788414552631132631,287.701130,12,0.000000000,14.500000000,-5.224354034
10655,1788414552.929214001,648,1788414552.856371880,1788414552631132631,298.081398,12,21.502286264,0.000000000,-5.224627454
10656,1788414552.939237118,648,1788414552.856371880,1788414552631132631,308.104515,12,21.367245522,0.000000000,-5.224814517
10657,1788414552.949258327,648,1788414552.856371880,1788414552631132631,318.125725,12,0.000000000,14.500000000,-5.223943154
10658,1788414552.963111162,648,1788414552.856371880,1788414552631132631,331.978559,12,0.000000000,14.500000000,-5.221325717
10659,1788414552.969330788,648,1788414552.856371880,1788414552631132631,338.198185,12,0.000000000,14.500000000,-5.217948663
10660,1788414552.979503632,649,1788414552.967277765,1788414552731128070,248.375654,10,0.000000000,14.500000000,-5.215365909
10661,1788414552.989112616,649,1788414552.967277765,1788414552731128070,257.984638,10,0.000000000,14.500000000,-5.214285695
10662,1788414552.999308825,649,1788414552.967277765,1788414552731128070,268.180847,10,0.000000000,14.500000000,-5.214371538
10663,1788414553.009482145,649,1788414552.967277765,1788414552731128070,278.354168,10,0.000000000,14.500000000,-5.214929964
10664,1788414553.019479513,649,1788414552.967277765,1788414552731128070,288.351536,10,0.000000000,14.500000000,-5.215545944
10665,1788414553.029501915,649,1788414552.967277765,1788414552731128070,298.373938,10,21.244009437,0.000000000,-5.216028730
10666,1788414553.039541483,649,1788414552.967277765,1788414552731128070,308.413506,10,21.157167255,0.000000000,-5.216240527
10667,1788414553.049489975,649,1788414552.967277765,1788414552731128070,318.361998,10,0.000000000,14.500000000,-5.216173103
10668,1788414553.059315205,649,1788414552.967277765,1788414552731128070,328.187227,10,0.000000000,14.500000000,-5.216057235
10669,1788414553.069362402,649,1788414552.967277765,1788414552731128070,338.234425,10,0.000000000,14.500000000,-5.216022320
10670,1788414553.079636812,650,1788414553.068346024,1788414552832623779,247.012854,9,0.000000000,14.500000000,-5.216196918
10671,1788414553.089140415,650,1788414553.068346024,1788414552832623779,256.516457,9,0.000000000,14.500000000,-5.216748196
10672,1788414553.099316835,650,1788414553.068346024,1788414552832623779,266.692877,9,0.000000000,14.500000000,-5.217484429
10673,1788414553.109174490,650,1788414553.068346024,1788414552832623779,276.550531,9,0.000000000,14.500000000,-5.218110735
10674,1788414553.119236946,650,1788414553.068346024,1788414552832623779,286.612988,9,0.000000000,14.500000000,-5.218530173
10675,1788414553.129315138,650,1788414553.068346024,1788414552832623779,296.691179,9,21.038861203,0.000000000,-5.218754559
10676,1788414553.139203310,650,1788414553.068346024,1788414552832623779,306.579351,9,0.000000000,14.500000000,-5.218798868
10677,1788414553.149500132,650,1788414553.068346024,1788414552832623779,316.876173,9,0.000000000,14.500000000,-5.219315789
10678,1788414553.159135580,650,1788414553.068346024,1788414552832623779,326.511621,9,0.000000000,14.500000000,-5.221141358
10679,1788414553.169482708,651,1788414553.162991047,1788414552932136339,237.346172,10,0.000000000,14.500000000,-5.223625586
