record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,point_count,measurement_time
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596814389999279,1783596814.3899994,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596814.3622892,0,,1783596814362289166,0,0,5957,1783596814.3622892
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596814490738739,1783596814.4907386,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596814.4624126,0,,1783596814462412549,0,0,5934,1783596814.4624126
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596814589558780,1783596814.5895588,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596814.5623934,0,,1783596814562393384,0,0,5954,1783596814.5623934
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596814689578486,1783596814.6895785,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596814.6624327,0,,1783596814662432754,0,0,5992,1783596814.6624327
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596814790623263,1783596814.7906232,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596814.7624037,0,,1783596814762403942,0,0,5874,1783596814.7624037
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596814890428374,1783596814.8904283,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596814.8627481,0,,1783596814862748170,0,0,5915,1783596814.8627481
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596814990952183,1783596814.9909523,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596814.9627197,0,,1783596814962719829,0,0,6065,1783596814.9627197
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596815098621439,1783596815.0986214,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596815.0623863,0,,1783596815062386299,0,0,6077,1783596815.0623863
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596815223247098,1783596815.223247,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596815.1623728,0,,1783596815162372901,0,0,5937,1783596815.1623728
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596815297569859,1783596815.2975698,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596815.262272,0,,1783596815262271894,0,0,5988,1783596815.262272
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596815390122834,1783596815.3901227,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596815.36237,0,,1783596815362370163,0,0,6040,1783596815.36237
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596815490944248,1783596815.4909441,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596815.4623704,0,,1783596815462370300,0,0,6037,1783596815.4623704
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596815589840962,1783596815.589841,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596815.562403,0,,1783596815562402999,0,0,5960,1783596815.562403
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596815691002764,1783596815.6910028,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596815.662336,0,,1783596815662336128,0,0,6086,1783596815.662336
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596815790496638,1783596815.7904966,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596815.7623577,0,,1783596815762357686,0,0,6013,1783596815.7623577
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596815891757642,1783596815.8917575,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596815.8632603,0,,1783596815863260111,0,0,6064,1783596815.8632603
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596815991329118,1783596815.991329,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596815.9626992,0,,1783596815962699378,0,0,6046,1783596815.9626992
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596816090521484,1783596816.0905216,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596816.0623524,0,,1783596816062352507,0,0,6029,1783596816.0623524
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596816189427830,1783596816.1894276,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596816.1623356,0,,1783596816162335694,0,0,6002,1783596816.1623356
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596816290352893,1783596816.2903528,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596816.2623894,0,,1783596816262389486,0,0,6096,1783596816.2623894
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596816390418296,1783596816.3904183,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596816.3622618,0,,1783596816362261814,0,0,6069,1783596816.3622618
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596816491777445,1783596816.4917774,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596816.462333,0,,1783596816462332938,0,0,6110,1783596816.462333
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596816594228546,1783596816.5942285,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596816.5625083,0,,1783596816562508255,0,0,6042,1783596816.5625083
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596816690212578,1783596816.6902127,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596816.6622543,0,,1783596816662254316,0,0,6100,1783596816.6622543
