record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,control_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,total_time_ms,task_index,task_name,task_time_ms
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540944785915,1783598540.9447858,/apollo/control,apollo.control.ControlCommand,1783598540.9444804,6649,6649,control,1783598540618515479,0,0,0.969148,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540955100212,1783598540.9551,/apollo/control,apollo.control.ControlCommand,1783598540.9548588,6650,6650,control,1783598540618515479,0,0,1.295483,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540962942902,1783598540.962943,/apollo/control,apollo.control.ControlCommand,1783598540.9626472,6651,6651,control,1783598540618515479,0,0,1.0970520000000001,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540974894409,1783598540.9748943,/apollo/control,apollo.control.ControlCommand,1783598540.974525,6652,6652,control,1783598540718513376,0,0,0.975324,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540984586404,1783598540.9845865,/apollo/control,apollo.control.ControlCommand,1783598540.9843538,6653,6653,control,1783598540718513376,0,0,0.8165089999999999,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540994534078,1783598540.9945343,/apollo/control,apollo.control.ControlCommand,1783598540.9942918,6654,6654,control,1783598540718513376,0,0,0.7557090000000001,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541004584088,1783598541.004584,/apollo/control,apollo.control.ControlCommand,1783598541.0043826,6655,6655,control,1783598540718513376,0,0,0.8476119999999999,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541014514418,1783598541.0145144,/apollo/control,apollo.control.ControlCommand,1783598541.0142992,6656,6656,control,1783598540718513376,0,0,0.799709,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541024763115,1783598541.024763,/apollo/control,apollo.control.ControlCommand,1783598541.0245116,6657,6657,control,1783598540718513376,0,0,0.964828,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541034917668,1783598541.0349176,/apollo/control,apollo.control.ControlCommand,1783598541.0347111,6658,6658,control,1783598540718513376,0,0,1.179643,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541042510247,1783598541.0425103,/apollo/control,apollo.control.ControlCommand,1783598541.0423079,6659,6659,control,1783598540718513376,0,0,0.802013,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541055261303,1783598541.0552611,/apollo/control,apollo.control.ControlCommand,1783598541.0549335,6660,6660,control,1783598540718513376,0,0,1.389243,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541062598011,1783598541.062598,/apollo/control,apollo.control.ControlCommand,1783598541.0623593,6661,6661,control,1783598540718513376,0,0,0.814877,-1,,
