control_seq,control_record_time_sec,control_steering_target,control_throttle,control_brake,chassis_record_time_sec,chassis_time_delta_ms,chassis_speed_mps,chassis_steering_percentage,chassis_steering_percentage_cmd,chassis_brake_percentage,chassis_throttle_percentage,localization_record_time_sec,localization_time_delta_ms,localization_x,localization_y,localization_heading
6929,1783598543.7446368,-0.13979890715907003,23.78803375938785,0.0,1783598543.721359,-23.277759552001953,4.997017860412598,-0.04006103426218033,,0.0,47.92103576660156,1783598543.7223969,-22.23992347717285,121.06956481933594,-132.98890686035156,6.07205923670584e-05
6930,1783598543.7546604,-0.1427744578097092,23.550227328989244,0.0,1783598543.721359,-33.301353454589844,4.997017860412598,-0.04006103426218033,,0.0,47.92103576660156,1783598543.7223969,-32.26351737976074,121.06956481933594,-132.98890686035156,6.07205923670584e-05
6931,1783598543.7645133,-0.1449266894928089,23.555915840748977,0.0,1783598543.721359,-43.154239654541016,4.997017860412598,-0.04006103426218033,,0.0,47.92103576660156,1783598543.7223969,-42.116403579711914,121.06956481933594,-132.98890686035156,6.07205923670584e-05
6932,1783598543.7748003,-0.14642545766026444,23.302127724283505,0.0,1783598543.8200908,45.290470123291016,5.181983470916748,-0.044405464082956314,,0.0,45.619075775146484,1783598543.8218787,47.07837104797363,121.5911865234375,-132.9889678955078,-3.078724139626843e-05
6933,1783598543.7846458,-0.14738680179340954,23.308417863915324,0.0,1783598543.8200908,35.44497489929199,5.181983470916748,-0.044405464082956314,,0.0,45.619075775146484,1783598543.8218787,37.23287582397461,121.5911865234375,-132.9889678955078,-3.078724139626843e-05
6934,1783598543.7945077,-0.14787424746448619,23.055231375321952,0.0,1783598543.8200908,25.58302879333496,5.181983470916748,-0.044405464082956314,,0.0,45.619075775146484,1783598543.8218787,27.370929718017578,121.5911865234375,-132.9889678955078,-3.078724139626843e-05
6935,1783598543.8044007,-0.1480359875197087,23.062123142825858,0.0,1783598543.8200908,15.690088272094727,5.181983470916748,-0.044405464082956314,,0.0,45.619075775146484,1783598543.8218787,17.477989196777344,121.5911865234375,-132.9889678955078,-3.078724139626843e-05
6936,1783598543.8144665,-0.14801820748069527,22.80953828210457,0.0,1783598543.8200908,5.624294281005859,5.181983470916748,-0.044405464082956314,,0.0,45.619075775146484,1783598543.8218787,7.412195205688477,121.5911865234375,-132.9889678955078,-3.078724139626843e-05
6937,1783598543.8248117,-0.14950426884184406,20.45350634556596,0.0,1783598543.8200908,-4.720926284790039,5.181983470916748,-0.044405464082956314,,0.0,45.619075775146484,1783598543.8218787,-2.933025360107422,121.5911865234375,-132.9889678955078,-3.078724139626843e-05
6938,1783598543.8324237,-0.15439877668446628,20.45882389501251,0.0,1783598543.8200908,-12.332916259765625,5.181983470916748,-0.044405464082956314,,0.0,45.619075775146484,1783598543.8218787,-10.545015335083008,121.5911865234375,-132.9889678955078,-3.078724139626843e-05
6939,1783598543.845272,-0.16106200198640783,20.014111834042335,0.0,1783598543.8200908,-25.181293487548828,5.181983470916748,-0.044405464082956314,,0.0,45.619075775146484,1783598543.8218787,-23.39339256286621,121.5911865234375,-132.9889678955078,-3.078724139626843e-05
6940,1783598543.8529065,-0.16677053613483409,20.020872624875192,0.0,1783598543.8200908,-32.81569480895996,5.181983470916748,-0.044405464082956314,,0.0,45.619075775146484,1783598543.8218787,-31.027793884277344,121.5911865234375,-132.9889678955078,-3.078724139626843e-05
6941,1783598543.8648398,-0.17061359688243483,20.224314417230367,0.0,1783598543.8200908,-44.74902153015137,5.181983470916748,-0.044405464082956314,,0.0,45.619075775146484,1783598543.8218787,-42.96112060546875,121.5911865234375,-132.9889678955078,-3.078724139626843e-05
6942,1783598543.8746812,-0.17268220033005657,20.231465756279327,0.0,1783598543.920949,46.26774787902832,5.034230709075928,-0.052008114755153656,,0.0,49.92770004272461,1783598543.9218588,47.17755317687988,122.10387420654297,-132.98912048339844,-0.000128798668093566
6943,1783598543.8846025,-0.17346895634174617,20.238617095328287,0.0,1783598543.920949,36.346435546875,5.034230709075928,-0.052008114755153656,,0.0,49.92770004272461,1783598543.9218588,37.25624084472656,122.10387420654297,-132.98912048339844,-0.000128798668093566
6944,1783598543.8946733,-0.17351076006047672,20.438601338143727,0.0,1783598543.920949,26.275634765625,5.034230709075928,-0.052008114755153656,,0.0,49.92770004272461,1783598543.9218588,27.185440063476562,122.10387420654297,-132.98912048339844,-0.000128798668093566
6945,1783598543.9046345,-0.17334226780454584,24.549522307921478,0.0,1783598543.920949,16.31450653076172,5.034230709075928,-0.052008114755153656,,0.0,49.92770004272461,1783598543.9218588,17.22431182861328,122.10387420654297,-132.98912048339844,-0.000128798668093566
6946,1783598543.9141986,-0.17336039051590857,24.96384953109206,0.0,1783598543.920949,6.750345230102539,5.034230709075928,-0.052008114755153656,,0.0,49.92770004272461,1783598543.9218588,7.660150527954102,122.10387420654297,-132.98912048339844,-0.000128798668093566
6947,1783598543.924317,-0.17424506729900235,24.92621585854646,0.0,1783598543.920949,-3.367900848388672,5.034230709075928,-0.052008114755153656,,0.0,49.92770004272461,1783598543.9218588,-2.4580955505371094,122.10387420654297,-132.98912048339844,-0.000128798668093566
6948,1783598543.934232,-0.17662230710874005,25.27808977892223,0.0,1783598543.920949,-13.283014297485352,5.034230709075928,-0.052008114755153656,,0.0,49.92770004272461,1783598543.9218588,-12.373208999633789,122.10387420654297,-132.98912048339844,-0.000128798668093566
6949,1783598543.9445422,-0.17970003179061855,25.283490857285596,0.0,1783598543.920949,-23.59318733215332,5.034230709075928,-0.052008114755153656,,0.0,49.92770004272461,1783598543.9218588,-22.683382034301758,122.10387420654297,-132.98912048339844,-0.000128798668093566
6950,1783598543.954497,-0.1822873857961059,25.618245715459427,0.0,1783598543.920949,-33.54811668395996,5.034230709075928,-0.052008114755153656,,0.0,49.92770004272461,1783598543.9218588,-32.6383113861084,122.10387420654297,-132.98912048339844,-0.000128798668093566
6951,1783598543.9643757,-0.18400477064028678,25.624043946249838,0.0,1783598543.920949,-43.4267520904541,5.034230709075928,-0.052008114755153656,,0.0,49.92770004272461,1783598543.9218588,-42.51694679260254,122.10387420654297,-132.98912048339844,-0.000128798668093566
6952,1783598543.9747007,-0.18506095995684824,25.920987592266265,0.0,1783598544.0212662,46.56553268432617,5.313403606414795,-0.05612863972783089,,0.0,53.139854431152344,1783598544.0213392,46.63848876953125,122.6194076538086,-132.98931884765625,-0.0002346661192302868
