frame_index,trace_id,parent_trace_id,data_ts_ns,data_time_sec,target_present,frame_status,perception_ms,prediction_ms,planning_ms,e2e_ms,perception_threshold_ms,prediction_threshold_ms,planning_threshold_ms,e2e_threshold_ms,e2e_deadline_miss,perception_deadline_miss,prediction_deadline_miss,planning_deadline_miss,cause_modules,e2e_overrun_ms,perception_overrun_ms,prediction_overrun_ms,planning_overrun_ms,perception_to_prediction_handoff_ms,prediction_to_planning_handoff_ms,perception_start_mono_ns,perception_output_mono_ns,prediction_start_mono_ns,prediction_output_mono_ns,planning_start_mono_ns,planning_output_mono_ns,input_seq,output_seq,object_count
48,17294084154085868738,72319179021092041,1783690726492885610,1783690726.4928856,0,COMPLETE,82.307808,3.054912,15.72464,101.611872,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.350272,0.17424,1344204739840,1344287047648,1344287397920,1344290452832,1344290627072,1344306351712,0,1225,1
49,17294084154085868739,72319179021092042,1783690726593329696,1783690726.5933297,0,COMPLETE,79.920832,3.809088,22.89216,106.880768,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.126208,0.13248,1344302897728,1344382818560,1344382944768,1344386753856,1344386886336,1344409778496,0,1226,1
50,17294084154085868740,72319179021092043,1783690726692102262,1783690726.6921022,0,COMPLETE,84.930304,4.68336,22.25168,112.177184,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.068704,0.243136,1344402773184,1344487703488,1344487772192,1344492455552,1344492698688,1344514950368,0,1227,2
51,17294084154085868741,72319179021092044,1783690726791516265,1783690726.791516,0,COMPLETE,83.631744,4.526016,36.506944,124.96288,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.036672,0.261504,1344501091168,1344584722912,1344584759584,1344589285600,1344589547104,1344626054048,0,1228,2
52,17294084154085868742,72319179021092045,1783690726892874054,1783690726.892874,0,COMPLETE,86.693312,5.843104,21.037504,113.832768,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.045504,0.213344,1344603732864,1344690426176,1344690471680,1344696314784,1344696528128,1344717565632,0,1229,3
53,17294084154085868743,72319179021092046,1783690726991939237,1783690726.9919393,0,COMPLETE,91.279328,4.231136,34.59744,130.314688,90.0,6.403471,41.557888,140.0,0,1,0,0,,0.0,1.2793280000000067,0.0,0.0,0.027872,0.178912,1344703088448,1344794367776,1344794395648,1344798626784,1344798805696,1344833403136,0,1230,2
54,17294084154085868744,72319179021092047,1783690727091760993,1783690727.0917609,0,COMPLETE,87.393184,7.966848,33.96416,129.664192,90.0,6.403471,41.557888,140.0,0,0,1,0,,0.0,0.0,1.563377,0.0,0.122624,0.217376,1344802229376,1344889622560,1344889745184,1344897712032,1344897929408,1344931893568,0,1231,1
55,17294084154085868745,72319179021092048,1783690727192035423,1783690727.1920354,0,COMPLETE,82.856736,6.118912,31.54224,120.88464,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.17344,0.193312,1344901623936,1344984480672,1344984654112,1344990773024,1344990966336,1345022508576,0,1232,0
56,17294084154085868746,72319179021092049,1783690727291286446,1783690727.2912865,0,COMPLETE,83.592224,7.318464,35.402752,126.716096,90.0,6.403471,41.557888,140.0,0,0,1,0,,0.0,0.0,0.914993,0.0,0.2264,0.176256,1345002492032,1345086084256,1345086310656,1345093629120,1345093805376,1345129208128,0,1233,1
57,17294084154085868747,72319179021092050,1783690727392036981,1783690727.392037,0,COMPLETE,80.585888,4.187968,19.083616,104.115776,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.118176,0.140128,1345102485472,1345183071360,1345183189536,1345187377504,1345187517632,1345206601248,0,1234,1
58,17294084154085868748,72319179021092051,1783690727492160649,1783690727.4921608,0,COMPLETE,80.195584,2.909664,26.431328,110.841952,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.110176,1.1952,1345204461984,1345284657568,1345284767744,1345287677408,1345288872608,1345315303936,0,1235,1
59,17294084154085868749,72319179021092052,1783690727592293412,1783690727.5922933,0,COMPLETE,82.908608,3.806752,36.184608,123.221984,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.192832,0.129184,1345315970848,1345398879456,1345399072288,1345402879040,1345403008224,1345439192832,0,1236,0
60,17294084154085868750,72319179021092053,1783690727692412449,1783690727.6924124,0,COMPLETE,83.969312,8.015776,40.759808,133.172864,90.0,6.403471,41.557888,140.0,0,0,1,0,,0.0,0.0,1.612305000000001,0.0,0.148512,0.279456,1345405139456,1345489108768,1345489257280,1345497273056,1345497552512,1345538312320,0,1237,1
61,17294084154085868751,72319179021092054,1783690727793447425,1783690727.7934475,0,COMPLETE,87.231072,7.037664,39.174528,133.782176,90.0,6.403471,41.557888,140.0,0,0,1,0,,0.0,0.0,0.6341930000000007,0.0,0.121632,0.21728,1345503000192,1345590231264,1345590352896,1345597390560,1345597607840,1345636782368,0,1238,1
