record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,planning_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,obstacle_id,decision_json
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598569401595159,1783598569.401595,/apollo/planning,apollo.planning.ADCTrajectory,1783598569.3996801,530,530,planning,1783598569218360359,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6367413592483,
          ""y"": -133.8557572995662,
          ""z"": 0.0
        },
        ""stop_heading"": 0.019354963522645485
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598569482031846,1783598569.4820318,/apollo/planning,apollo.planning.ADCTrajectory,1783598569.4813485,531,531,planning,1783598569318258990,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6367224859005,
          ""y"": -133.85795786593317,
          ""z"": 0.0
        },
        ""stop_heading"": 0.01850138891732627
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598569573425387,1783598569.5734253,/apollo/planning,apollo.planning.ADCTrajectory,1783598569.5727873,532,532,planning,1783598569418348778,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6367220837043,
          ""y"": -133.85789708853744,
          ""z"": 0.0
        },
        ""stop_heading"": 0.018517901782947523
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598569662274566,1783598569.6622746,/apollo/planning,apollo.planning.ADCTrajectory,1783598569.6608486,533,533,planning,1783598569518388148,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6367224134322,
          ""y"": -133.8577235769794,
          ""z"": 0.0
        },
        ""stop_heading"": 0.018563831667387988
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598569756522745,1783598569.7565227,/apollo/planning,apollo.planning.ADCTrajectory,1783598569.755878,534,534,planning,1783598569618396784,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6367233627112,
          ""y"": -133.85744017954565,
          ""z"": 0.0
        },
        ""stop_heading"": 0.018637496976298063
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598569856882258,1783598569.856882,/apollo/planning,apollo.planning.ADCTrajectory,1783598569.8562365,535,535,planning,1783598569718626938,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6367397073403,
          ""y"": -133.85570090935298,
          ""z"": 0.0
        },
        ""stop_heading"": 0.01943763760991754
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598569962777542,1783598569.9627776,/apollo/planning,apollo.planning.ADCTrajectory,1783598569.962157,536,536,planning,1783598569818690091,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6367401946936,
          ""y"": -133.8556751437905,
          ""z"": 0.0
        },
        ""stop_heading"": 0.019506760129408093
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598570068138865,1783598570.0681388,/apollo/planning,apollo.planning.ADCTrajectory,1783598570.067409,537,537,planning,1783598569918325820,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6367419740545,
          ""y"": -133.85565197946238,
          ""z"": 0.0
        },
        ""stop_heading"": 0.019687327083756596
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598570181565889,1783598570.181566,/apollo/planning,apollo.planning.ADCTrajectory,1783598570.1806107,538,538,planning,1783598570018392809,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.63674121618175,
          ""y"": -133.85565429692156,
          ""z"": 0.0
        },
        ""stop_heading"": 0.01976268326635333
      }
    }
  ]
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598570269381067,1783598570.269381,/apollo/planning,apollo.planning.ADCTrajectory,1783598570.2687385,539,539,planning,1783598570118323941,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.63673010883355,
          ""y"": -133.85583181832664,
          ""z"": 0.0
        },
        ""stop_heading"": 0.019242076392311402
      }
    }
  ]
}"
