record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,planning_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,routing_header_timestamp_sec,routing_header_sequence_num,routing_header_module_name,routing_header_lidar_timestamp,routing_header_camera_timestamp,routing_header_radar_timestamp
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598564248192903,1783598564.248193,/apollo/planning,apollo.planning.ADCTrajectory,1783598564.2477396,479,479,planning,1783598564118280664,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598564374690519,1783598564.3746905,/apollo/planning,apollo.planning.ADCTrajectory,1783598564.373666,480,480,planning,1783598564218325587,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598564446023726,1783598564.4460237,/apollo/planning,apollo.planning.ADCTrajectory,1783598564.44552,481,481,planning,1783598564318360976,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598564588216599,1783598564.5882165,/apollo/planning,apollo.planning.ADCTrajectory,1783598564.5875673,482,482,planning,1783598564418496212,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598564657330896,1783598564.657331,/apollo/planning,apollo.planning.ADCTrajectory,1783598564.6568182,483,483,planning,1783598564518299477,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598564759210220,1783598564.7592103,/apollo/planning,apollo.planning.ADCTrajectory,1783598564.7583952,484,484,planning,1783598564618464530,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598564854154985,1783598564.854155,/apollo/planning,apollo.planning.ADCTrajectory,1783598564.8534815,485,485,planning,1783598564718368582,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598564949115846,1783598564.949116,/apollo/planning,apollo.planning.ADCTrajectory,1783598564.9485273,486,486,planning,1783598564818268556,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598565068712023,1783598565.068712,/apollo/planning,apollo.planning.ADCTrajectory,1783598565.0677576,487,487,planning,1783598564918327393,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598565168480503,1783598565.1684804,/apollo/planning,apollo.planning.ADCTrajectory,1783598565.167867,488,488,planning,1783598565018305249,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598565271091742,1783598565.2710917,/apollo/planning,apollo.planning.ADCTrajectory,1783598565.27022,489,489,planning,1783598565118400862,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598565374670386,1783598565.3746703,/apollo/planning,apollo.planning.ADCTrajectory,1783598565.374036,490,490,planning,1783598565218239548,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598565456886207,1783598565.4568863,/apollo/planning,apollo.planning.ADCTrajectory,1783598565.4563584,491,491,planning,1783598565318256552,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598565551422871,1783598565.551423,/apollo/planning,apollo.planning.ADCTrajectory,1783598565.5508695,492,492,planning,1783598565418395336,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598565655921335,1783598565.6559215,/apollo/planning,apollo.planning.ADCTrajectory,1783598565.6552293,493,493,planning,1783598565518409495,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598565763706053,1783598565.7637062,/apollo/planning,apollo.planning.ADCTrajectory,1783598565.76294,494,494,planning,1783598565618417682,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598565868132069,1783598565.868132,/apollo/planning,apollo.planning.ADCTrajectory,1783598565.8666089,495,495,planning,1783598565718488454,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598565979766728,1783598565.9797668,/apollo/planning,apollo.planning.ADCTrajectory,1783598565.979085,496,496,planning,1783598565818282207,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598566055413595,1783598566.0554135,/apollo/planning,apollo.planning.ADCTrajectory,1783598566.0548775,497,497,planning,1783598565918286249,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598566156304074,1783598566.1563041,/apollo/planning,apollo.planning.ADCTrajectory,1783598566.1556141,498,498,planning,1783598566018373269,0,0,1783598537.4674547,0,dreamview,0,0,0
