case,sensor_time,fusion_trace_id,lidar_trace_id,module,phase,event_trace_id,elapsed_from_sensor_ms,estimated_wall_time
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,frame_init_exit,17294087637304349551,4629.556292,2026-07-13T19:29:04.277061
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,reference_line_enter,17294087637304349551,4629.559428,2026-07-13T19:29:04.277064
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,reference_line_exit,17294087637304349551,4629.596708,2026-07-13T19:29:04.277101
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,stitching_enter,17294087637304349551,4629.599844,2026-07-13T19:29:04.277104
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,stitching_exit,17294087637304349551,4632.3033,2026-07-13T19:29:04.279808
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,traffic_decider_enter,17294087637304349551,4632.313892,2026-07-13T19:29:04.279818
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,traffic_decider_exit,17294087637304349551,4632.49674,2026-07-13T19:29:04.280001
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,planner_enter,17294087637304349551,4632.502596,2026-07-13T19:29:04.280007
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,planner_exit,17294087637304349551,4654.803876,2026-07-13T19:29:04.302308
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,trajectory_finalize_enter,17294087637304349551,4655.040132,2026-07-13T19:29:04.302544
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,trajectory_finalize_exit,17294087637304349551,4656.665028,2026-07-13T19:29:04.304169
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,runonce_exit,17294087637304349551,4656.678788,2026-07-13T19:29:04.304183
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,writer_enter,17294087637304349551,4656.732356,2026-07-13T19:29:04.304237
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,writer_done,17294087637304349551,4657.785796,2026-07-13T19:29:04.305290
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,output_pub,17294087637304349551,4658.585732,2026-07-13T19:29:04.306090
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,control,proc_ready,17294087637304349551,4660.370692,2026-07-13T19:29:04.307875
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,control,check_input_enter,17294087637304349551,4660.407716,2026-07-13T19:29:04.307912
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,control,check_input_exit,17294087637304349551,4660.426788,2026-07-13T19:29:04.307931
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,control,solve_enter,17294087637304349551,4660.447044,2026-07-13T19:29:04.307951
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,control,solve_exit,17294087637304349551,4661.9945,2026-07-13T19:29:04.309499
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,control,cmd_write_enter,17294087637304349551,4662.038564,2026-07-13T19:29:04.309543
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,control,cmd_write_done,17294087637304349551,4662.293764,2026-07-13T19:29:04.309798
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,control,interactive_pub_enter,17294087637304349551,4662.329444,2026-07-13T19:29:04.309834
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,control,interactive_pub_done,17294087637304349551,4662.444004,2026-07-13T19:29:04.309948
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,control,output_pub,17294087637304349551,4662.456356,2026-07-13T19:29:04.309961
E4_较大目标关联帧,2026-07-13T19:28:59.947392,17294087637304349554,72322662239573118,perception.pointcloud_preprocess,proc_enter,72322662239573118,64.7933,2026-07-13T19:29:00.012186
E4_较大目标关联帧,2026-07-13T19:28:59.947392,17294087637304349554,72322662239573118,perception.pointcloud_preprocess,output_pub,72322662239573118,72.674004,2026-07-13T19:29:00.020066
E4_较大目标关联帧,2026-07-13T19:28:59.947392,17294087637304349554,72322662239573118,perception.pointcloud_map_based_roi,proc_enter,72322662239573118,72.716564,2026-07-13T19:29:00.020109
E4_较大目标关联帧,2026-07-13T19:28:59.947392,17294087637304349554,72322662239573118,perception.pointcloud_map_based_roi,output_pub,72322662239573118,78.501652,2026-07-13T19:29:00.025894
E4_较大目标关联帧,2026-07-13T19:28:59.947392,17294087637304349554,72322662239573118,perception.pointcloud_ground_detection,proc_enter,72322662239573118,78.539412,2026-07-13T19:29:00.025932
E4_较大目标关联帧,2026-07-13T19:28:59.947392,17294087637304349554,72322662239573118,perception.pointcloud_ground_detection,output_pub,72322662239573118,86.703124,2026-07-13T19:29:00.034096
E4_较大目标关联帧,2026-07-13T19:28:59.947392,17294087637304349554,72322662239573118,perception.lidar_detection,proc_enter,72322662239573118,4551.054228,2026-07-13T19:29:04.498447
E4_较大目标关联帧,2026-07-13T19:28:59.947392,17294087637304349554,72322662239573118,perception.lidar_detection,output_pub,72322662239573118,4672.678516,2026-07-13T19:29:04.620071
