planning_seq,reuse_count,first_control_seq,last_control_seq,max_planning_age_ms
410,10,8291,8300,98.47712516784668
411,11,8301,8311,111.20915412902832
412,10,8312,8321,91.55654907226562
413,10,8322,8331,94.87724304199219
414,9,8332,8340,85.07227897644043
415,12,8341,8352,116.31965637207031
416,10,8353,8362,97.1076488494873
417,10,8363,8372,95.10183334350586
418,8,8373,8380,82.83352851867676
419,11,8381,8391,104.68697547912598
420,9,8392,8400,86.10105514526367
421,11,8401,8411,105.95488548278809
422,11,8412,8422,111.43183708190918
423,10,8423,8432,91.23086929321289
424,10,8433,8442,94.58804130554199
425,9,8443,8451,85.32381057739258
426,10,8452,8461,95.00813484191895
427,12,8462,8473,114.27187919616699
428,9,8474,8482,93.42646598815918
429,10,8483,8492,96.01020812988281
430,8,8493,8500,81.4061164855957
431,9,8501,8509,91.33124351501465
432,11,8510,8520,101.60326957702637
433,10,8521,8530,101.08232498168945
434,11,8531,8541,104.84838485717773
435,9,8542,8550,84.86771583557129
436,11,8551,8561,110.89372634887695
437,10,8562,8571,96.60983085632324
438,11,8572,8582,108.68000984191895
439,8,8583,8590,73.68612289428711
440,11,8591,8601,110.93521118164062
441,10,8602,8611,98.43063354492188
442,10,8612,8621,94.31910514831543
443,12,8622,8633,116.25504493713379
444,7,8634,8640,71.4716911315918
445,11,8641,8651,108.79182815551758
446,11,8652,8662,102.61917114257812
447,10,8663,8672,94.88916397094727
448,10,8673,8682,95.12591361999512
449,11,8683,8693,109.33136940002441
450,7,8694,8700,65.7808780670166
451,17,8701,8717,163.66243362426758
452,5,8718,8722,46.2186336517334
453,9,8723,8731,89.62130546569824
454,12,8732,8743,115.64898490905762
455,9,8744,8752,80.98983764648438
456,8,8753,8760,72.82114028930664
457,16,8761,8776,156.39138221740723
458,6,8777,8782,59.00382995605469
459,8,8783,8790,78.16338539123535
460,10,8791,8800,94.40922737121582
461,10,8801,8810,94.10929679870605
462,11,8811,8821,109.97962951660156
463,10,8822,8831,96.50278091430664
464,9,8832,8840,90.12722969055176
465,9,8841,8849,84.07235145568848
466,12,8850,8861,111.71984672546387
467,10,8862,8871,100.48723220825195
468,9,8872,8880,88.76276016235352
469,10,8881,8890,97.47004508972168
470,10,8891,8900,93.33610534667969
471,9,8901,8909,87.27622032165527
472,11,8910,8920,102.34546661376953
473,11,8921,8931,108.25419425964355
474,10,8932,8941,98.86765480041504
475,11,8942,8952,105.14068603515625
476,8,8953,8960,80.47127723693848
477,9,8961,8969,82.79895782470703
478,10,8970,8979,93.63341331481934
479,13,8980,8992,125.81276893615723
480,7,8993,8999,69.11087036132812
481,14,9000,9013,138.02742958068848
482,7,9014,9020,65.62113761901855
483,10,9021,9030,97.24926948547363
484,10,9031,9040,94.67220306396484
485,9,9041,9049,89.62869644165039
486,12,9050,9061,115.3409481048584
487,10,9062,9071,95.96538543701172
488,11,9072,9082,104.3856143951416
489,10,9083,9092,102.2336483001709
490,8,9093,9100,79.76102828979492
491,9,9101,9109,87.6612663269043
492,11,9110,9120,103.21354866027832
493,11,9121,9131,106.91332817077637
494,10,9132,9141,100.65269470214844
495,11,9142,9152,106.50372505187988
496,8,9153,9160,75.13713836669922
497,10,9161,9170,98.40536117553711
498,10,9171,9180,97.54323959350586
499,10,9181,9190,99.26247596740723
500,9,9191,9199,90.0564193725586
501,11,9200,9210,100.79574584960938
502,10,9211,9220,94.69079971313477
503,10,9221,9230,97.20826148986816
504,11,9231,9241,103.98435592651367
505,10,9242,9251,94.72513198852539
506,10,9252,9261,99.18332099914551
507,10,9262,9271,97.23162651062012
508,10,9272,9281,99.80201721191406
509,11,9282,9292,107.55538940429688
510,9,9293,9301,86.46655082702637
511,9,9302,9310,87.31365203857422
512,10,9311,9320,100.0661849975586
513,13,9321,9333,128.36337089538574
514,8,9334,9341,73.80104064941406
515,10,9342,9351,96.19140625
516,10,9352,9361,90.42692184448242
517,11,9362,9372,106.3232421875
518,9,9373,9381,91.10546112060547
519,10,9382,9391,95.93892097473145
520,10,9392,9401,97.30076789855957
521,9,9402,9410,87.94283866882324
522,9,9411,9419,82.91101455688477
523,11,9420,9430,107.46908187866211
524,10,9431,9440,95.27158737182617
525,10,9441,9450,98.60587120056152
526,10,9451,9460,100.65245628356934
527,11,9461,9471,106.44316673278809
528,9,9472,9480,90.26575088500977
529,14,9481,9494,134.04202461242676
530,9,9495,9503,81.64453506469727
531,9,9504,9512,95.16096115112305
532,8,9513,9520,81.1920166015625
533,10,9521,9530,92.32378005981445
534,10,9531,9540,98.37555885314941
535,10,9541,9550,95.93820571899414
536,11,9551,9561,100.10266304016113
537,12,9562,9573,114.85910415649414
538,8,9574,9581,83.54473114013672
539,13,9582,9594,123.81315231323242
540,8,9595,9602,75.27732849121094
541,9,9603,9611,83.94694328308105
542,12,9612,9623,115.15617370605469
543,8,9624,9631,75.23441314697266
544,13,9632,9644,124.59468841552734
545,7,9645,9651,71.33173942565918
546,11,9652,9662,100.7843017578125
547,10,9663,9672,100.53801536560059
548,9,9673,9681,84.2583179473877
549,9,9682,9690,87.60857582092285
550,10,9691,9700,94.52104568481445
551,13,9701,9713,120.69177627563477
552,7,9714,9720,71.8388557434082
553,11,9721,9731,105.86404800415039
554,10,9732,9741,96.88520431518555
555,9,9742,9750,82.23366737365723
556,10,9751,9760,97.65815734863281
557,11,9761,9771,106.19759559631348
558,9,9772,9780,91.46857261657715
559,13,9781,9793,125.03838539123535
560,10,9794,9803,95.68166732788086
561,7,9804,9810,69.39315795898438
562,10,9811,9820,98.29044342041016
563,9,9821,9829,89.77651596069336
564,10,9830,9839,95.13068199157715
565,11,9840,9850,109.90262031555176
566,11,9851,9861,110.12840270996094
567,10,9862,9871,96.25077247619629
568,7,9872,9878,64.43953514099121
