control_seq,control_record_time_sec,control_header_timestamp_sec,planning_header_sequence_num,planning_header_timestamp_sec,planning_publish_record_time_sec,matched_planning_seq_from_record,planning_age_ms,planning_trajectory_point_size,planning_trajectory_type,reuse_count,reuse_index_in_run
7575,1783598550.203668,1783598550.2033184,338,1783598550.1683385,1783598550.1696305,338,34.03759002685547,136,NORMAL,9,4
7576,1783598550.2133896,1783598550.2131772,338,1783598550.1683385,1783598550.1696305,338,43.75910758972168,136,NORMAL,9,5
7577,1783598550.2234554,1783598550.2232392,338,1783598550.1683385,1783598550.1696305,338,53.82490158081055,136,NORMAL,9,6
7578,1783598550.2337527,1783598550.2335505,338,1783598550.1683385,1783598550.1696305,338,64.12220001220703,136,NORMAL,9,7
7579,1783598550.2463834,1783598550.245896,338,1783598550.1683385,1783598550.1696305,338,76.75290107727051,136,NORMAL,9,8
7580,1783598550.254068,1783598550.2537777,338,1783598550.1683385,1783598550.1696305,338,84.43737030029297,136,NORMAL,9,9
7581,1783598550.2640636,1783598550.2638707,339,1783598550.2587168,1783598550.2594504,339,4.613161087036133,136,NORMAL,10,1
7582,1783598550.2739115,1783598550.2737312,339,1783598550.2587168,1783598550.2594504,339,14.461040496826172,136,NORMAL,10,2
7583,1783598550.2839332,1783598550.2837303,339,1783598550.2587168,1783598550.2594504,339,24.48272705078125,136,NORMAL,10,3
7584,1783598550.294006,1783598550.293752,339,1783598550.2587168,1783598550.2594504,339,34.555673599243164,136,NORMAL,10,4
7585,1783598550.303831,1783598550.3036616,339,1783598550.2587168,1783598550.2594504,339,44.38066482543945,136,NORMAL,10,5
7586,1783598550.313913,1783598550.3137085,339,1783598550.2587168,1783598550.2594504,339,54.46267127990723,136,NORMAL,10,6
7587,1783598550.3238044,1783598550.3236294,339,1783598550.2587168,1783598550.2594504,339,64.35394287109375,136,NORMAL,10,7
7588,1783598550.3343403,1783598550.3340037,339,1783598550.2587168,1783598550.2594504,339,74.8898983001709,136,NORMAL,10,8
7589,1783598550.344015,1783598550.343757,339,1783598550.2587168,1783598550.2594504,339,84.5644474029541,136,NORMAL,10,9
7590,1783598550.3540773,1783598550.3538008,339,1783598550.2587168,1783598550.2594504,339,94.62690353393555,136,NORMAL,10,10
7591,1783598550.3691063,1783598550.368553,340,1783598550.3577495,1783598550.358469,340,10.637283325195312,136,NORMAL,20,1
7592,1783598550.3763554,1783598550.3761032,340,1783598550.3577495,1783598550.358469,340,17.88640022277832,136,NORMAL,20,2
7593,1783598550.3843849,1783598550.3841112,340,1783598550.3577495,1783598550.358469,340,25.915861129760742,136,NORMAL,20,3
7594,1783598550.394403,1783598550.394152,340,1783598550.3577495,1783598550.358469,340,35.9339714050293,136,NORMAL,20,4
7595,1783598550.4044514,1783598550.4042284,340,1783598550.3577495,1783598550.358469,340,45.98236083984375,136,NORMAL,20,5
7596,1783598550.4145057,1783598550.4142869,340,1783598550.3577495,1783598550.358469,340,56.03671073913574,136,NORMAL,20,6
7597,1783598550.4243774,1783598550.424101,340,1783598550.3577495,1783598550.358469,340,65.90843200683594,136,NORMAL,20,7
7598,1783598550.4342427,1783598550.4339535,340,1783598550.3577495,1783598550.358469,340,75.77371597290039,136,NORMAL,20,8
7599,1783598550.4442775,1783598550.444041,340,1783598550.3577495,1783598550.358469,340,85.80851554870605,136,NORMAL,20,9
7600,1783598550.454505,1783598550.454308,340,1783598550.3577495,1783598550.358469,340,96.03595733642578,136,NORMAL,20,10
7601,1783598550.464222,1783598550.464052,340,1783598550.3577495,1783598550.358469,340,105.75294494628906,136,NORMAL,20,11
7602,1783598550.4745564,1783598550.474306,340,1783598550.3577495,1783598550.358469,340,116.08743667602539,136,NORMAL,20,12
7603,1783598550.4841824,1783598550.4839935,340,1783598550.3577495,1783598550.358469,340,125.71334838867188,136,NORMAL,20,13
7604,1783598550.4942288,1783598550.4939818,340,1783598550.3577495,1783598550.358469,340,135.75983047485352,136,NORMAL,20,14
7605,1783598550.50408,1783598550.5038757,340,1783598550.3577495,1783598550.358469,340,145.61104774475098,136,NORMAL,20,15
7606,1783598550.5142217,1783598550.5139835,340,1783598550.3577495,1783598550.358469,340,155.75265884399414,136,NORMAL,20,16
7607,1783598550.5242739,1783598550.5239706,340,1783598550.3577495,1783598550.358469,340,165.80486297607422,136,NORMAL,20,17
7608,1783598550.534438,1783598550.5341542,340,1783598550.3577495,1783598550.358469,340,175.96888542175293,136,NORMAL,20,18
7609,1783598550.5445135,1783598550.544241,340,1783598550.3577495,1783598550.358469,340,186.04445457458496,136,NORMAL,20,19
7610,1783598550.5543919,1783598550.5540793,340,1783598550.3577495,1783598550.358469,340,195.9228515625,136,NORMAL,20,20
7611,1783598550.5648067,1783598550.5645006,341,1783598550.5595071,1783598550.560716,341,4.090785980224609,136,NORMAL,19,1
7612,1783598550.5745747,1783598550.5743268,341,1783598550.5595071,1783598550.560716,341,13.858795166015625,136,NORMAL,19,2
7613,1783598550.5845191,1783598550.5842938,341,1783598550.5595071,1783598550.560716,341,23.803234100341797,136,NORMAL,19,3
7614,1783598550.5949953,1783598550.5946703,341,1783598550.5595071,1783598550.560716,341,34.27934646606445,136,NORMAL,19,4
7615,1783598550.6025772,1783598550.6023772,341,1783598550.5595071,1783598550.560716,341,41.86129570007324,136,NORMAL,19,5
7616,1783598550.615336,1783598550.6149745,341,1783598550.5595071,1783598550.560716,341,54.62002754211426,136,NORMAL,19,6
7617,1783598550.6245706,1783598550.6242976,341,1783598550.5595071,1783598550.560716,341,63.85469436645508,136,NORMAL,19,7
7618,1783598550.6345918,1783598550.6341023,341,1783598550.5595071,1783598550.560716,341,73.87590408325195,136,NORMAL,19,8
7619,1783598550.6445043,1783598550.6442175,341,1783598550.5595071,1783598550.560716,341,83.78839492797852,136,NORMAL,19,9
7620,1783598550.654494,1783598550.65427,341,1783598550.5595071,1783598550.560716,341,93.77813339233398,136,NORMAL,19,10
7621,1783598550.6643207,1783598550.6640549,341,1783598550.5595071,1783598550.560716,341,103.60479354858398,136,NORMAL,19,11
