frame,host_tid,infer_ms,stack_sample_count,resolved_sample_count,unknown_sample_count,unknown_ratio,top1_symbol,top1_dso,top1_samples,top1_ratio,top2_symbol,top2_dso,top2_samples,top2_ratio,top3_symbol,top3_dso,top3_samples,top3_ratio,frame_role,data_status,quality_flag
626,1016506,94.697937,4,4,0,0.000000000,__rcu_read_unlock,[kernel.kallsyms],1,0.250000000,cudnn::cnn::convolutionForward,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.250000000,phi::KernelFactory::SelectKernelOrThrowError,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.250000000,anomaly,OK,none
627,1016506,100.131092,3,2,1,0.333333333,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.333333333,paddle::CustomOpKernelContext::InputAt,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,"std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, paddle::framework::Scope::KeyHasher, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,anomaly,OK,none
628,1016506,98.513087,4,4,0,0.000000000,cudnn::ops::setTensorNdDescriptor,/usr/lib/aarch64-linux-gnu/libcudnn_ops_infer.so.8.6.0,1,0.250000000,cudnnConvolutionForward,/usr/lib/aarch64-linux-gnu/libcudnn.so.8.6.0,1,0.250000000,paddle::experimental::SetKernelOutput@plt,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.250000000,anomaly,OK,none
629,1016506,100.335094,3,3,0,0.000000000,__aarch64_swp4_rel,/usr/lib/aarch64-linux-gnu/libpthread-2.31.so,1,0.333333333,memcmp@plt,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,"paddle::framework::ExtractAttribute<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator()@plt",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,anomaly,OK,none
630,1016506,90.985507,3,2,1,0.333333333,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.333333333,"paddle::platform::details::SafeBoostGetConst<std::vector<int, std::allocator<int> >, paddle::variant<paddle::blank, int, float, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> >, std::vector<float, std::allocator<float> >, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, bool, std::vector<bool, std::allocator<bool> >, paddle::framework::BlockDesc*, long, std::vector<paddle::framework::BlockDesc*, std::allocator<paddle::framework::BlockDesc*> >, std::vector<long, std::allocator<long> >, std::vector<double, std::allocator<double> >, paddle::framework::VarDesc*, std::vector<paddle::framework::VarDesc*, std::allocator<paddle::framework::VarDesc*> >, double> >@plt",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,tcmalloc::SLL_TryPop,inlined,1,0.333333333,anomaly,OK,none
631,1016506,94.082153,3,2,1,0.333333333,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.333333333,cutlass_cudnn::layout::TensorNHWC::TensorNHWC,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.333333333,paddle::framework::OperatorWithKernel::BuildPhiKernelContext,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,anomaly,OK,none
632,1016506,91.116709,3,1,2,0.666666667,[unknown],/usr/lib/aarch64-linux-gnu/libc-2.31.so,1,0.333333333,[unknown],/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcudart.so.11.4.298,1,0.333333333,memcmp,/usr/lib/aarch64-linux-gnu/libc-2.31.so,1,0.333333333,anomaly,OK,high_unknown_ratio
633,1016506,89.043019,3,1,2,0.666666667,[unknown],/usr/lib/aarch64-linux-gnu/libcudnn_ops_infer.so.8.6.0,1,0.333333333,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.333333333,paddle::framework::OperatorBase::Info@plt,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,anomaly,OK,high_unknown_ratio
634,1016506,92.033840,2,1,1,0.500000000,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.500000000,cudnn::backend::OperationSet::~OperationSet,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.500000000,,,,,anomaly,OK,high_unknown_ratio
635,1016506,92.549846,3,3,0,0.000000000,cudnn::backend::ExecutionPlan::~ExecutionPlan,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.333333333,cudnn::cnn::AutoTransformationExecutor::isAllowedDtypeConversion,/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0,1,0.333333333,phi::funcs::GetDecreasedDims<long>,/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.333333333,anomaly,OK,none
