timestamp,cpu,event,prev_tid,prev_comm,prev_state,next_tid,next_comm,target_tid,waker_tid,orig_cpu,dest_cpu,selection_reason,raw_event
75654.889042,10,sched_switch,571684,kworker/10:2,I,136,kswapd0,1016506,,,,switch_involving_anomaly_target_or_kswapd0, kworker/10:2-mm 571684 [010] 75654.889042:       sched:sched_switch: prev_comm=kworker/10:2 prev_pid=571684 prev_prio=120 prev_state=I ==> next_comm=kswapd0 next_pid=136 next_prio=120
75654.889346,4,sched_waking,,,,1016510,mainboard,1016510,1016514,,,wake_of_anomaly_target_or_kswapd0,       mainboard 1016514 [004] 75654.889346:       sched:sched_waking: comm=mainboard pid=1016510 prio=120 target_cpu=008
75654.889354,4,sched_migrate_task,1016510,mainboard,,,,1016510,,8,4,migration_of_anomaly_target_or_kswapd0,       mainboard 1016514 [004] 75654.889354: sched:sched_migrate_task: comm=mainboard pid=1016510 prio=120 orig_cpu=8 dest_cpu=4
75654.88945,4,sched_switch,1016514,mainboard,S,1016510,mainboard,1016510,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 1016514 [004] 75654.889450:       sched:sched_switch: prev_comm=mainboard prev_pid=1016514 prev_prio=120 prev_state=S ==> next_comm=mainboard next_pid=1016510 next_prio=120
75654.889552,4,sched_switch,1016510,mainboard,S,1016644,mainboard,1016504|1016510,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 1016510 [004] 75654.889552:       sched:sched_switch: prev_comm=mainboard prev_pid=1016510 prev_prio=120 prev_state=S ==> next_comm=mainboard next_pid=1016644 next_prio=120
75654.8944,10,sched_switch,136,kswapd0,R+,571684,kworker/10:2,1016506,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   136 [010] 75654.894400:       sched:sched_switch: prev_comm=kswapd0 prev_pid=136 prev_prio=120 prev_state=R+ ==> next_comm=kworker/10:2 next_pid=571684 next_prio=120
75654.894413,10,sched_switch,571684,kworker/10:2,I,136,kswapd0,1016506,,,,switch_involving_anomaly_target_or_kswapd0, kworker/10:2-mm 571684 [010] 75654.894413:       sched:sched_switch: prev_comm=kworker/10:2 prev_pid=571684 prev_prio=120 prev_state=I ==> next_comm=kswapd0 next_pid=136 next_prio=120
75654.895107,6,sched_switch,1016424,mainboard,S,1016507,mainboard,1016507|1016510,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 1016424 [006] 75654.895107:       sched:sched_switch: prev_comm=mainboard prev_pid=1016424 prev_prio=120 prev_state=S ==> next_comm=mainboard next_pid=1016507 next_prio=120
75654.895345,6,sched_switch,1016507,mainboard,S,1016513,mainboard,1016507,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 1016507 [006] 75654.895345:       sched:sched_switch: prev_comm=mainboard prev_pid=1016507 prev_prio=120 prev_state=S ==> next_comm=mainboard next_pid=1016513 next_prio=120
75654.895829,10,sched_switch,136,kswapd0,R+,571684,kworker/10:2,1016506,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   136 [010] 75654.895829:       sched:sched_switch: prev_comm=kswapd0 prev_pid=136 prev_prio=120 prev_state=R+ ==> next_comm=kworker/10:2 next_pid=571684 next_prio=120
75654.89584,10,sched_switch,571684,kworker/10:2,I,136,kswapd0,1016506,,,,switch_involving_anomaly_target_or_kswapd0, kworker/10:2-mm 571684 [010] 75654.895840:       sched:sched_switch: prev_comm=kworker/10:2 prev_pid=571684 prev_prio=120 prev_state=I ==> next_comm=kswapd0 next_pid=136 next_prio=120
75654.897346,10,sched_switch,136,kswapd0,R+,571684,kworker/10:2,1016506,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   136 [010] 75654.897346:       sched:sched_switch: prev_comm=kswapd0 prev_pid=136 prev_prio=120 prev_state=R+ ==> next_comm=kworker/10:2 next_pid=571684 next_prio=120
75654.897349,10,sched_switch,571684,kworker/10:2,I,136,kswapd0,1016506,,,,switch_involving_anomaly_target_or_kswapd0, kworker/10:2-mm 571684 [010] 75654.897349:       sched:sched_switch: prev_comm=kworker/10:2 prev_pid=571684 prev_prio=120 prev_state=I ==> next_comm=kswapd0 next_pid=136 next_prio=120
75654.89881,10,sched_switch,136,kswapd0,R+,571684,kworker/10:2,1016506,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   136 [010] 75654.898810:       sched:sched_switch: prev_comm=kswapd0 prev_pid=136 prev_prio=120 prev_state=R+ ==> next_comm=kworker/10:2 next_pid=571684 next_prio=120
75654.898813,10,sched_switch,571684,kworker/10:2,I,136,kswapd0,1016506,,,,switch_involving_anomaly_target_or_kswapd0, kworker/10:2-mm 571684 [010] 75654.898813:       sched:sched_switch: prev_comm=kworker/10:2 prev_pid=571684 prev_prio=120 prev_state=I ==> next_comm=kswapd0 next_pid=136 next_prio=120
