frame,host_tid,symbol,dso,sample_count,sample_ratio
613,1016506,"std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, paddle::framework::Scope::KeyHasher, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,1,0.040000000
616,1016506,__pi_clear_page,[kernel.kallsyms],7,0.250000000
616,1016506,get_page_from_freelist,[kernel.kallsyms],5,0.178571429
616,1016506,[unknown],/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,2,0.071428571
616,1016506,"std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::unique_ptr<paddle::framework::Variable, std::default_delete<paddle::framework::Variable> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, paddle::framework::Scope::KeyHasher, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find",/opt/apollo/neo/packages/3rd-paddleinference/9.0.0-rc1-r1/lib/libpaddle_inference.so,2,0.071428571
616,1016506,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,1,0.035714286
616,1016506,_mcount,[kernel.kallsyms],1,0.035714286
616,1016506,gv11b_gpu_phys_addr,/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,1,0.035714286
616,1016506,nvgpu_aperture_mask_raw,/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,1,0.035714286
616,1016506,nvgpu_mem_get_addr,/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,1,0.035714286
