window_id,window_start_s,window_end_s,timestamp_s,interval_start_s,interval_end_s,cpu,prev_tid,prev_comm,prev_prio,prev_state,next_tid,next_comm,next_prio,running_interval_ms
runnable_1646959,968509.383000000,968509.413500000,968509.388326000,968509.388326000,968509.388338000,3,0,swapper/3,120,R,1644485,mainboard,120,0.012000
runnable_1646959,968509.383000000,968509.413500000,968509.388336000,968509.388336000,968509.388341000,6,0,swapper/6,120,R,1645745,mainboard,120,0.005000
runnable_1646959,968509.383000000,968509.413500000,968509.388338000,968509.388338000,968509.388344000,3,1644485,mainboard,120,S,1644780,dreamview_plus,120,0.006000
runnable_1646959,968509.383000000,968509.413500000,968509.388339000,968509.388339000,968509.388348000,8,0,swapper/8,120,R,1648107,cyber_recorder,120,0.009000
runnable_1646959,968509.383000000,968509.413500000,968509.388341000,968509.388341000,968509.388420000,6,1645745,mainboard,120,S,0,swapper/6,120,0.079000
runnable_1646959,968509.383000000,968509.413500000,968509.388344000,968509.388344000,968509.388404000,3,1644780,dreamview_plus,120,S,0,swapper/3,120,0.060000
runnable_1646959,968509.383000000,968509.413500000,968509.388346000,968509.388346000,968509.388355000,11,0,swapper/11,120,R,1648121,cyber_recorder,120,0.009000
runnable_1646959,968509.383000000,968509.413500000,968509.388347000,968509.388347000,968509.388358000,10,0,swapper/10,120,R,1644538,mainboard,120,0.011000
runnable_1646959,968509.383000000,968509.413500000,968509.388348000,968509.388348000,968509.388432000,8,1648107,cyber_recorder,120,S,0,swapper/8,120,0.084000
runnable_1646959,968509.383000000,968509.413500000,968509.388355000,968509.388355000,968509.388433000,11,1648121,cyber_recorder,120,S,0,swapper/11,120,0.078000
runnable_1646959,968509.383000000,968509.413500000,968509.388358000,968509.388358000,968509.388461000,10,1644538,mainboard,120,S,0,swapper/10,120,0.103000
runnable_1646959,968509.383000000,968509.413500000,968509.388404000,968509.388404000,968509.388424000,3,0,swapper/3,120,R,1644778,dds.udp.27417,120,0.020000
runnable_1646959,968509.383000000,968509.413500000,968509.388408000,968509.388408000,968509.388417000,0,1645550,mainboard,120,R,1253664,kworker/0:1H,100,0.009000
runnable_1646959,968509.383000000,968509.413500000,968509.388415000,968509.388415000,968509.388419000,9,0,swapper/9,120,R,1646932,mainboard,120,0.004000
runnable_1646959,968509.383000000,968509.413500000,968509.388417000,968509.388417000,968509.388651000,0,1253664,kworker/0:1H,100,I,12,ksoftirqd/0,120,0.234000
runnable_1646959,968509.383000000,968509.413500000,968509.388417000,968509.388417000,968509.388428000,5,0,swapper/5,120,R,1644543,mainboard,120,0.011000
runnable_1646959,968509.383000000,968509.413500000,968509.388419000,968509.388419000,968509.388427000,4,0,swapper/4,120,R,1645541,mainboard,120,0.008000
runnable_1646959,968509.383000000,968509.413500000,968509.388419000,968509.388419000,968509.388431000,9,1646932,mainboard,120,S,0,swapper/9,120,0.012000
runnable_1646959,968509.383000000,968509.413500000,968509.388420000,968509.388420000,968509.388425000,6,0,swapper/6,120,R,1645526,mainboard,120,0.005000
runnable_1646959,968509.383000000,968509.413500000,968509.388424000,968509.388424000,968509.388436000,3,1644778,dds.udp.27417,120,S,0,swapper/3,120,0.012000
runnable_1646959,968509.383000000,968509.413500000,968509.388425000,968509.388425000,968509.388429000,6,1645526,mainboard,120,S,1645745,mainboard,120,0.004000
runnable_1646959,968509.383000000,968509.413500000,968509.388427000,968509.388427000,968509.388530000,4,1645541,mainboard,120,S,0,swapper/4,120,0.103000
runnable_1646959,968509.383000000,968509.413500000,968509.388428000,968509.388428000,968509.388598000,5,1644543,mainboard,120,S,0,swapper/5,120,0.170000
runnable_1646959,968509.383000000,968509.413500000,968509.388429000,968509.388429000,968509.388530000,6,1645745,mainboard,120,S,0,swapper/6,120,0.101000
runnable_1646959,968509.383000000,968509.413500000,968509.388431000,968509.388431000,968509.388439000,9,0,swapper/9,120,R,1648121,cyber_recorder,120,0.008000
