blocked_tid,block_start,wake_time,blocked_ms,waker_tid,waker_comm,active_trace_node,model_ordinal,obstacle_id,wake_event,wake_cpu,wake_raw_event_verified,waker_last_schedule_in_s,wake_after_waker_schedule_in_ms,dependency_chain,interval_from_previous_chain_event_ms
1646942,968509.516474000,968509.520955000,4.481000,174,irq/134-host_sy,model_cruise_mlp,3,73,sched_waking,0,1,968509.520942000,0.013000,,
1646959,968509.516650000,968509.521039000,4.389000,1646949,mainboard,model_cruise_mlp,2,72,sched_waking,3,1,968509.520998000,0.041000,,
1646949,968509.522145000,968509.526456000,4.311000,1646959,mainboard,model_cruise_mlp,2,74,sched_waking,1,1,968509.526414000,0.042000,,
1646959,968509.522159000,968509.526376000,4.217000,174,irq/134-host_sy,model_cruise_mlp,2,72,sched_waking,0,1,968509.526360000,0.016000,,
1646942,968509.523629000,968509.526607000,2.978000,1646949,mainboard,model_cruise_mlp,3,73,sched_waking,3,1,968509.526538000,0.069000,,
1646949,968509.526872000,968509.531071000,4.199000,1646959,mainboard,model_cruise_mlp,2,74,sched_waking,1,1,968509.531039000,0.032000,,
1646959,968509.527053000,968509.531032000,3.979000,174,irq/134-host_sy,model_cruise_mlp,2,72,sched_waking,0,1,968509.531012000,0.020000,,
1646942,968509.527195000,968509.531156000,3.961000,1646949,mainboard,model_cruise_mlp,3,73,sched_waking,3,1,968509.531104000,0.052000,,
1646942,968509.533234000,968509.536242000,3.008000,1646949,mainboard,model_cruise_mlp,3,73,sched_waking,3,1,968509.536208000,0.034000,,
1646949,968509.533299000,968509.535941000,2.642000,174,irq/134-host_sy,model_cruise_mlp,2,74,sched_waking,0,1,968509.535929000,0.012000,,
1646942,968509.538531000,968509.540944000,2.413000,174,irq/134-host_sy,model_cruise_mlp,3,73,sched_waking,0,1,968509.540781000,0.163000,,
1646949,968509.538603000,968509.540977000,2.374000,1646942,mainboard,model_cruise_mlp,2,74,sched_waking,3,1,968509.540952000,0.025000,,
