source_frame,lidar_timestamp,perception_seq,perception_pub_time,output_interval_ms,perception_data_age_ms,obstacle_ids,target_id,target_x,target_y,target_vx,target_vy,tracking_time
349,1788414562230997480,1017,1788414562.448176146,109.883547,217.178583,[],,,,,,
350,1788414562331099301,1018,1788414562.556115150,107.939005,225.015640,[],,,,,,
351,1788414562431605841,1019,1788414562.643118858,87.003708,211.513042,[7],7,-497.088318533,-274.028098528,0.000000000,-0.000000000,0.400363684
352,1788414562531672852,1020,1788414562.752765894,109.647036,221.093178,[],,,,,,
353,1788414562631870947,1021,1788414562.843605518,90.839624,211.734533,[],,,,,,
354,1788414562731520274,1022,1788414562.938768387,95.162868,207.248211,[],,,,,,
355,1788414562831606328,1023,1788414563.055381536,116.613150,223.775148,[],,,,,,
356,1788414562931905235,1024,1788414563.143359900,87.978363,211.454630,[],,,,,,
357,1788414563031354739,1025,1788414563.251256466,107.896566,219.901800,[],,,,,,
358,1788414563132074914,1026,1788414563.339208126,87.951660,207.133055,[],,,,,,
359,1788414563231461930,1027,1788414563.440847635,101.639509,209.385633,[],,,,,,
360,1788414563331156867,1028,1788414563.543388367,102.540731,212.231398,[],,,,,,
361,1788414563430931701,1029,1788414563.646008253,102.619886,215.076447,[],,,,,,
362,1788414563531778798,1030,1788414563.737583160,91.574907,205.804348,[],,,,,,
363,1788414563631160428,1031,1788414563.841697931,104.114771,210.537672,[],,,,,,
364,1788414563731188900,1032,1788414563.945396185,103.698254,214.207172,[],,,,,,
365,1788414563831864755,1033,1788414564.045544147,100.147963,213.679314,[],,,,,,
366,1788414563931441112,1034,1788414564.139231682,93.687534,207.790613,[],,,,,,
367,1788414564032187003,1035,1788414564.245781183,106.549501,213.594198,[],,,,,,
368,1788414564131834721,1036,1788414564.342120886,96.339703,210.286379,[],,,,,,
369,1788414564231304724,1037,1788414564.442971230,100.850344,211.666584,[],,,,,,
370,1788414564331219679,1038,1788414564.545373678,102.402449,214.154005,[],,,,,,
371,1788414564432269706,1039,1788414564.647695541,102.321863,215.425730,[],,,,,,
372,1788414564531335979,1040,1788414564.737750053,90.054512,206.414223,[],,,,,,
373,1788414564632266131,1041,1788414564.839231014,101.480961,206.964731,[],,,,,,
374,1788414564731035573,1042,1788414564.943547964,104.316950,212.512255,[],,,,,,
375,1788414564831633951,1043,1788414565.050572395,107.024431,218.938589,[],,,,,,
376,1788414564931395867,1044,1788414565.150030136,99.457741,218.634367,[],,,,,,
377,1788414565031433836,1045,1788414565.248556852,98.526716,217.123032,[],,,,,,
378,1788414565131115242,1046,1788414565.335373163,86.816311,204.257965,[],,,,,,
379,1788414565231370098,1047,1788414565.444369316,108.996153,212.999344,[],,,,,,
380,1788414565331225228,1048,1788414565.541184187,96.814871,209.958792,[],,,,,,
381,1788414565431366152,1049,1788414565.641924620,100.740433,210.558414,[],,,,,,
382,1788414565531732999,1050,1788414565.739635706,97.711086,207.902670,[],,,,,,
383,1788414565631646839,1051,1788414565.837041855,97.406149,205.395222,[],,,,,,
384,1788414565731695171,1052,1788414565.943451881,106.410027,211.756706,[],,,,,,
385,1788414565831332601,1053,1788414566.041287899,97.836018,209.955215,[],,,,,,
386,1788414565932435555,1054,1788414566.138371229,97.083330,205.935717,[],,,,,,
387,1788414566031806340,1055,1788414566.240905285,102.534056,209.098816,[],,,,,,
388,1788414566131677007,1056,1788414566.344539165,103.633881,212.862253,[],,,,,,
389,1788414566231695208,1057,1788414566.438224792,93.685627,206.529617,[],,,,,,
390,1788414566331573618,1058,1788414566.547183037,108.958244,215.609550,[],,,,,,
391,1788414566431732061,1059,1788414566.649658203,102.475166,217.926264,[],,,,,,
392,1788414566532086327,1060,1788414566.745311737,95.653534,213.225365,[],,,,,,
393,1788414566631220108,1061,1788414566.838389158,93.077421,207.168818,[],,,,,,
394,1788414566731060463,1062,1788414566.936626673,98.237514,205.566168,[],,,,,,
395,1788414566830978834,1063,1788414567.048338413,111.711740,217.359543,[],,,,,,
396,1788414566931059835,1064,1788414567.144972563,96.634150,213.912964,[],,,,,,
397,1788414567032291289,1065,1788414567.245474339,100.501776,213.182926,[],,,,,,
398,1788414567131024207,1066,1788414567.334566593,89.092255,203.542471,[],,,,,,
399,1788414567231680462,1067,1788414567.449347496,114.780903,217.667103,[],,,,,,
400,1788414567331319023,1068,1788414567.536969185,87.621689,205.650091,[],,,,,,
401,1788414567431648858,1069,1788414567.638887405,101.918221,207.238674,[],,,,,,
402,1788414567532037230,1070,1788414567.737383604,98.496199,205.346584,[],,,,,,
403,1788414567632638188,1071,1788414567.839795113,102.411509,207.156897,[],,,,,,
404,1788414567732082642,1072,1788414567.943067312,103.272200,210.984707,[],,,,,,
405,1788414567831771612,1073,1788414568.045061827,101.994514,213.290215,[],,,,,,
406,1788414567931192872,1074,1788414568.159775734,114.713907,228.582859,[],,,,,,
407,1788414568032376279,1075,1788414568.246262550,86.486816,213.886261,[],,,,,,
408,1788414568131350557,1076,1788414568.334810019,88.547468,203.459501,[],,,,,,
409,1788414568232158926,1077,1788414568.443167925,108.357906,211.009026,[],,,,,,
410,1788414568331371356,1078,1788414568.543266058,100.098133,211.894751,[],,,,,,
411,1788414568431859278,1079,1788414568.636572838,93.306780,204.713583,[],,,,,,
412,1788414568530943339,1080,1788414568.735822439,99.249601,204.879284,[],,,,,,
413,1788414568631528437,1081,1788414568.898800850,162.978411,267.272472,[],,,,,,
414,1788414568731623884,1082,1788414568.988554716,89.753866,256.930828,[],,,,,,
415,1788414568832294439,1083,1788414569.076654673,88.099957,244.360209,[],,,,,,
416,1788414568931348013,1084,1788414569.162800074,86.145401,231.451988,[],,,,,,
417,1788414569031282146,1085,1788414569.249861956,87.061882,218.579769,[],,,,,,
418,1788414569131449325,1086,1788414569.338217258,88.355303,206.767797,[],,,,,,
419,1788414569231330294,1087,1788414569.449193001,110.975742,217.862606,[],,,,,,
420,1788414569331454096,1088,1788414569.542185307,92.992306,210.731030,[],,,,,,
421,1788414569432201472,1089,1788414569.638569355,96.384048,206.367970,[],,,,,,
422,1788414569531850367,1090,1788414569.741600990,103.031635,209.750652,[],,,,,,
423,1788414569631567019,1091,1788414569.835540056,93.939066,203.973055,[],,,,,,
424,1788414569731124589,1092,1788414569.934442520,98.902464,203.318119,[],,,,,,
425,1788414569831017840,1093,1788414570.034778357,100.335836,203.760624,[],,,,,,
426,1788414569931003306,1094,1788414570.142806768,108.028412,211.803436,[],,,,,,
427,1788414570031053347,1095,1788414570.239963531,97.156763,208.910227,[],,,,,,
428,1788414570131566779,1096,1788414570.339058638,99.095106,207.491875,[],,,,,,
429,1788414570231467498,1097,1788414570.436798811,97.740173,205.331326,[],,,,,,
430,1788414570331211047,1098,1788414570.546004057,109.205246,214.792967,[],,,,,,
431,1788414570431810816,1099,1788414570.662497282,116.493225,230.686426,[],,,,,,
432,1788414570540493769,1100,1788414570.754827976,92.330694,214.334249,[],,,,,,
433,1788414570631398504,1101,1788414570.844760180,89.932203,213.361740,[],,,,,,
