run_id,source_frame_index,sensor_time_unix_s,log_msg_time_unix_s,mapping_abs_residual_ms,log_source_line,points_before_fusing,downsample_ms,fuse_ms,shuffle_ms,cloud_to_array_ms,inference_ms,postprocess_ms,nms_ms,listed_stage_sum_ms,lidar_detection_execution_trace_ms,inference_share_of_trace_execution,data_status,missing_reason
202609031348,41,1788414531.4311657,1788414531.431165,0.0007152557373046875,2114.0,36556.0,14.9867,0.077953,0.000416,0.371108,74.2464,0.177538,0.113537,89.973652,90.241248,0.8227545789260361,complete,
202609031348,42,1788414531.5311987,1788414531.531199,0.0002384185791015625,2161.0,36584.0,7.87711,0.062369,0.000256,0.217059,73.9054,0.168834,0.104513,82.335541,82.428096,0.8966044781623975,complete,
202609031348,43,1788414531.6316018,1788414531.631602,0.0002384185791015625,2202.0,36589.0,7.98486,0.048993,0.000288,0.214978,74.0464,0.156002,0.106177,82.557698,82.657056,0.8958267277266687,complete,
202609031348,44,1788414531.7317338,1788414531.731734,0.0002384185791015625,2245.0,36572.0,10.2518,0.052513,0.000288,0.298563,74.5779,0.247971,0.110753,85.539788,85.668832,0.8705371400417833,complete,
202609031348,45,1788414531.8312466,1788414531.831247,0.000476837158203125,2292.0,36569.0,8.13043,0.041472,0.000288,0.215811,76.3005,0.174402,0.111457,84.97436,85.10288,0.8965677777297314,complete,
202609031348,46,1788414531.9313886,1788414531.931389,0.000476837158203125,2340.0,36543.0,8.48982,0.060737,0.000288,0.235555,74.0367,0.154881,0.105346,83.083327,83.218336,0.889668113527288,complete,
202609031348,47,1788414532.0312915,1788414532.031291,0.000476837158203125,2386.0,36560.0,8.64592,0.053856,0.00032,0.227267,74.3856,0.169506,0.191107,83.673576,83.819648,0.8874482507967583,complete,
202609031348,48,1788414532.1318488,1788414532.131849,0.0002384185791015625,2434.0,36536.0,10.4095,0.063617,0.000288,0.271235,74.3788,0.196642,0.132418,85.4525,85.60368,0.8688738614975431,complete,
202609031348,49,1788414532.2318785,1788414532.231879,0.000476837158203125,2481.0,36492.0,9.49592,0.061441,0.000288,0.288963,74.4592,0.195234,0.133826,84.634872,84.814912,0.8779022254954411,complete,
202609031348,50,1788414532.3317544,1788414532.331754,0.000476837158203125,2527.0,36502.0,11.5276,0.066497,0.00032,0.371428,74.4688,0.17437,0.108193,86.717208,86.861504,0.8573280057411855,complete,
202609031348,51,1788414532.4318328,1788414532.431833,0.0002384185791015625,2578.0,36463.0,11.4419,0.072129,0.000288,0.312835,73.3449,0.15277,0.107169,85.431991,85.649248,0.8563402681597391,complete,
202609031348,52,1788414532.5312347,1788414532.531235,0.0002384185791015625,2619.0,36470.0,10.404,0.050304,0.000288,0.285668,73.6992,0.155714,0.114882,84.71005600000001,84.834752,0.8687383208239945,complete,
202609031348,53,1788414532.6311724,1788414532.631172,0.000476837158203125,2666.0,36408.0,7.73948,0.060545,0.000256,0.215618,73.3685,0.254115,0.164706,81.80322,81.92896,0.89551362546284,complete,
202609031348,54,1788414532.7310345,1788414532.731034,0.000476837158203125,2723.0,36379.0,10.7575,0.063489,0.000352,0.333316,74.0678,0.207939,0.131617,85.56201300000001,85.700544,0.8642628919601725,complete,
202609031348,55,1788414532.838161,1788414532.838161,0.0,2766.0,36354.0,10.1303,0.054208,0.000288,0.261187,73.8015,0.187074,0.121314,84.55587100000001,84.680288,0.8715310462808062,complete,
202609031348,56,1788414532.931251,1788414532.931251,0.0,2810.0,36355.0,9.53349,0.049024,0.000288,0.253603,75.5011,0.194978,0.13309,85.665573,85.791296,0.8800554778890389,complete,
202609031348,57,1788414533.0313735,1788414533.031374,0.000476837158203125,2854.0,36358.0,8.42218,0.047073,0.000256,0.255491,73.6179,0.24349,0.159522,82.745912,82.87808,0.8882674405584686,complete,
202609031348,58,1788414533.1316988,1788414533.131699,0.0002384185791015625,2903.0,36331.0,9.17326,0.043712,0.000256,0.241827,74.0573,0.207395,0.155905,83.879655,84.01968,0.8814280178167782,complete,
202609031348,59,1788414533.231086,1788414533.231086,0.0,2948.0,36324.0,8.27113,0.043809,0.000288,0.215682,73.6493,0.188002,0.144642,82.51285299999999,82.630624,0.8913075617098087,complete,
202609031348,60,1788414533.3321292,1788414533.332129,0.0002384185791015625,3005.0,36308.0,17.2064,0.083425,0.000352,0.476229,75.9438,0.204162,0.141538,94.055906,94.299392,0.8053477163458276,complete,
202609031348,61,1788414533.4316585,1788414533.431659,0.000476837158203125,3045.0,36301.0,10.485,0.073793,0.000256,0.260035,73.8146,0.18269,0.161602,84.977976,85.099424,0.8673924749478915,complete,
