timestamp,cpu,event,prev_tid,prev_comm,prev_state,next_tid,next_comm,target_tid,waker_tid,orig_cpu,dest_cpu,selection_reason,raw_event
518004.333064,0,sched_waking,,,,29037,mainboard,29037,174,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   174 [000] 518004.333064:       sched:sched_waking: comm=mainboard pid=29037 prio=120 target_cpu=003
518004.333069,3,sched_switch,0,swapper/3,R,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [003] 518004.333069:       sched:sched_switch: prev_comm=swapper/3 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.333685,3,sched_switch,29037,mainboard,S,0,swapper/3,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [003] 518004.333685:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=S ==> next_comm=swapper/3 next_pid=0 next_prio=120
518004.334049,0,sched_waking,,,,29037,mainboard,29037,174,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   174 [000] 518004.334049:       sched:sched_waking: comm=mainboard pid=29037 prio=120 target_cpu=003
518004.334051,0,sched_migrate_task,29037,mainboard,,,,29037,,3,1,migration_of_anomaly_target_or_kswapd0, irq/134-host_sy   174 [000] 518004.334051: sched:sched_migrate_task: comm=mainboard pid=29037 prio=120 orig_cpu=3 dest_cpu=1
518004.334055,1,sched_switch,0,swapper/1,R,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [001] 518004.334055:       sched:sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.334079,3,sched_waking,,,,937,sugov:0,29037,0,,,wake_adjacent_to_direct_competitor_run_window,         swapper     0 [003] 518004.334079:       sched:sched_waking: comm=sugov:0 pid=937 prio=-1 target_cpu=001
518004.334089,1,sched_switch,29037,mainboard,R,937,sugov:0,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.334089:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=sugov:0 next_pid=937 next_prio=-1
518004.33412,1,sched_switch,937,sugov:0,D,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         sugov:0   937 [001] 518004.334120:       sched:sched_switch: prev_comm=sugov:0 prev_pid=937 prev_prio=-1 prev_state=D ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.334224,0,sched_waking,,,,937,sugov:0,29037,0,,,wake_adjacent_to_direct_competitor_run_window,         swapper     0 [000] 518004.334224:       sched:sched_waking: comm=sugov:0 pid=937 prio=-1 target_cpu=001
518004.334231,1,sched_switch,29037,mainboard,R,937,sugov:0,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.334231:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=sugov:0 next_pid=937 next_prio=-1
518004.33424,1,sched_switch,937,sugov:0,S,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         sugov:0   937 [001] 518004.334240:       sched:sched_switch: prev_comm=sugov:0 prev_pid=937 prev_prio=-1 prev_state=S ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.334524,1,sched_switch,29037,mainboard,S,0,swapper/1,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [001] 518004.334524:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
