record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,measurement_time,status_json,pose_status_json
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598545122014668,1783598545.1220148,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598545.1217215,710,localization,0,0,0,1783598545.11856,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598545221373637,1783598545.2213738,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598545.2209537,711,localization,0,0,0,1783598545.2186494,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598545321923437,1783598545.3219233,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598545.3215554,712,localization,0,0,0,1783598545.3184683,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598545421727628,1783598545.4217277,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598545.4213688,713,localization,0,0,0,1783598545.4184644,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598545521403593,1783598545.5214036,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598545.521008,714,localization,0,0,0,1783598545.5185268,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598545621881520,1783598545.6218815,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598545.6215994,715,localization,0,0,0,1783598545.6188679,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598545721911698,1783598545.721912,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598545.7215934,716,localization,0,0,0,1783598545.718609,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598545821915347,1783598545.8219154,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598545.8215442,717,localization,0,0,0,1783598545.818686,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598545921668977,1783598545.9216688,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598545.9214118,718,localization,0,0,0,1783598545.9185808,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546021591665,1783598546.0215917,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598546.021336,719,localization,0,0,0,1783598546.01853,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546121897655,1783598546.1218977,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598546.1215606,720,localization,0,0,0,1783598546.1183748,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546222426206,1783598546.2224262,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598546.221318,721,localization,0,0,0,1783598546.2186513,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598546321677846,1783598546.321678,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598546.3213978,722,localization,0,0,0,1783598546.3184743,,
