record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,control_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,lon_station_reference,lon_station_error,lon_preview_station_error,lon_speed_reference,lon_speed_error,lon_preview_speed_reference,lon_preview_speed_error,lon_acceleration_reference,lon_acceleration_cmd,lon_current_speed,lon_current_acceleration,lon_current_station,lon_path_remain,lon_throttle_cmd,lon_brake_cmd,lon_slope_offset
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598400170595163,1783598400.1705952,/apollo/control,apollo.control.ControlCommand,1783598400.1703727,9178,9178,control,1783598399983798706,0,0,-0.217919556725594,0.6590555419279251,1.7656593903333442,5.455387409107047,0.18673437933428616,5.608696051546288,0.3400430217735275,0.802996670072182,1.2595692567089878,5.268653024545549,0.0005454330528732464,-0.8769750986535192,50.643311464143665,27.551045221095954,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598400180461312,1783598400.1804614,/apollo/control,apollo.control.ControlCommand,1783598400.1802168,9179,9179,control,1783598399983798706,0,0,-0.217919556725594,0.6590555419279251,1.7656593903333442,5.455387409107047,0.18673437933428616,5.608696051546288,0.3400430217735275,0.802996670072182,1.2605248931721476,5.268653024545549,0.0005454330528732464,-0.8769750986535192,50.643311464143665,27.556634210084745,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598400190623400,1783598400.1906235,/apollo/control,apollo.control.ControlCommand,1783598400.1903648,9180,9180,control,1783598399983798706,0,0,-0.10895977836279702,0.24903636955767272,1.3587076859063227,5.471619562826147,0.2753043514450706,5.623612896504596,0.42729768512351995,0.7857746370118817,1.2650739075128477,5.196315245182338,0.0031233701522133733,-0.35799614792046974,50.124332513410614,27.424697487076173,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598400200433548,1783598400.2004337,/apollo/control,apollo.control.ControlCommand,1783598400.2002776,9181,9181,control,1783598399983798706,0,0,-0.10895977836279702,0.24903636955767272,1.3587076859063227,5.471619562826147,0.2753043514450706,5.623612896504596,0.42729768512351995,0.7857746370118817,1.2660492423889174,5.196315245182338,0.0031233701522133733,-0.35799614792046974,50.124332513410614,27.43030840735373,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598400210740471,1783598400.2107406,/apollo/control,apollo.control.ControlCommand,1783598400.210408,9182,9182,control,1783598399983798706,0,0,4.618956682651575e-11,0.3579961479666593,1.470734932212351,5.487851716686723,0.2915365053056469,5.638529741462905,0.442214530081829,0.7685526037169288,1.3021703009638843,5.196315245182338,0.0031233701522133733,-0.35799614792046974,50.124332513410614,27.63856976369494,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598400220502298,1783598400.2205024,/apollo/control,apollo.control.ControlCommand,1783598400.2203083,9183,9183,control,1783598399983798706,0,0,4.618956682651575e-11,0.3579961479666593,1.470734932212351,5.487851716686723,0.2915365053056469,5.638529741462905,0.442214530081829,0.7685526037169288,1.3032597081685813,5.196315245182338,0.0031233701522133733,-0.35799614792046974,50.124332513410614,27.644852620772976,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598400230855973,1783598400.230856,/apollo/control,apollo.control.ControlCommand,1783598400.2305803,9184,9184,control,1783598399983798706,0,0,0.11052051058929963,0.46851665850976937,1.5842389445729332,5.503070476683651,0.30675526530257446,5.653148656085496,0.45683344470441956,0.7655067616969157,1.3388177976105844,5.196315245182338,0.0031233701522133733,-0.35799614792046974,50.124332513410614,27.849924143128447,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598400240922572,1783598400.2409227,/apollo/control,apollo.control.ControlCommand,1783598400.2406123,9185,9185,control,1783598400083074640,0,0,-0.44208204217244035,0.4685166585097695,1.584239615202244,5.503070476683651,0.30675526530257446,5.653162167076404,0.45684695569532785,0.7655067616969157,1.3402234853094468,5.196315245182338,0.0031233701522133733,-0.9105987006822098,51.000969420465275,27.858031061157106,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598400250420780,1783598400.2504208,/apollo/control,apollo.control.ControlCommand,1783598400.250202,9186,9186,control,1783598400083074640,0,0,-0.3315615316293303,0.5790371690528795,1.6977440230567544,5.5182892366805785,0.32197402529950203,5.667786355218358,0.47147114383728184,0.7624609196769024,1.3759331181331795,5.196315245182338,0.0031233701522133733,-0.9105987006822098,51.000969420465275,28.0639765683774,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598400261093531,1783598400.2610936,/apollo/control,apollo.control.ControlCommand,1783598400.2608,9187,9187,control,1783598400083074640,0,0,-0.3315615316293303,0.5790371690528795,1.6977440230567544,5.5182892366805785,0.32197402529950203,5.667786355218358,0.47147114383728184,0.7624609196769024,1.3772464625105099,5.196315245182338,0.0031233701522133733,-0.9105987006822098,51.000969420465275,28.071550921641666,0.0,
