control_seq,control_record_time_sec,control_header_timestamp_sec,planning_header_sequence_num,planning_header_timestamp_sec,planning_publish_record_time_sec,matched_planning_seq_from_record,planning_age_ms,planning_trajectory_point_size,planning_trajectory_type,reuse_count,reuse_index_in_run
11200,1783598420.3907762,1783598420.3905647,668,1783598420.3367207,1783598420.3380399,668,52.73628234863281,155,NORMAL,9,6
11201,1783598420.4006526,1783598420.4003248,668,1783598420.3367207,1783598420.3380399,668,62.61277198791504,155,NORMAL,9,7
11202,1783598420.4148872,1783598420.414529,668,1783598420.3367207,1783598420.3380399,668,76.84731483459473,155,NORMAL,9,8
11203,1783598420.4204261,1783598420.4202185,668,1783598420.3367207,1783598420.3380399,668,82.38625526428223,155,NORMAL,9,9
11204,1783598420.4328225,1783598420.4325545,669,1783598420.4278986,1783598420.4286337,669,4.188776016235352,155,NORMAL,7,1
11205,1783598420.4403007,1783598420.440109,669,1783598420.4278986,1783598420.4286337,669,11.667013168334961,155,NORMAL,7,2
11206,1783598420.4523697,1783598420.4521124,669,1783598420.4278986,1783598420.4286337,669,23.736000061035156,155,NORMAL,7,3
11207,1783598420.462854,1783598420.462562,669,1783598420.4278986,1783598420.4286337,669,34.220218658447266,155,NORMAL,7,4
11208,1783598420.4717948,1783598420.4707134,669,1783598420.4278986,1783598420.4286337,669,43.16115379333496,155,NORMAL,7,5
11209,1783598420.481281,1783598420.4808106,669,1783598420.4278986,1783598420.4286337,669,52.64735221862793,155,NORMAL,7,6
11210,1783598420.4933624,1783598420.4929652,669,1783598420.4278986,1783598420.4286337,669,64.7287368774414,155,NORMAL,7,7
11211,1783598420.5035076,1783598420.5031762,670,1783598420.490985,1783598420.4920082,670,11.499404907226562,159,NORMAL,7,1
11212,1783598420.5116808,1783598420.51085,670,1783598420.490985,1783598420.4920082,670,19.672632217407227,159,NORMAL,7,2
11213,1783598420.521316,1783598420.520814,670,1783598420.490985,1783598420.4920082,670,29.307842254638672,159,NORMAL,7,3
11214,1783598420.5330365,1783598420.532728,670,1783598420.490985,1783598420.4920082,670,41.02826118469238,159,NORMAL,7,4
11215,1783598420.5409648,1783598420.5406837,670,1783598420.490985,1783598420.4920082,670,48.95663261413574,159,NORMAL,7,5
11216,1783598420.551158,1783598420.5508137,670,1783598420.490985,1783598420.4920082,670,59.149742126464844,159,NORMAL,7,6
11217,1783598420.5610857,1783598420.5607536,670,1783598420.490985,1783598420.4920082,670,69.0774917602539,159,NORMAL,7,7
11218,1783598420.5708506,1783598420.5705748,671,1783598420.56459,1783598420.5652664,671,5.584239959716797,159,NORMAL,8,1
11219,1783598420.581279,1783598420.5808518,671,1783598420.56459,1783598420.5652664,671,16.01266860961914,159,NORMAL,8,2
11220,1783598420.593031,1783598420.5927284,671,1783598420.56459,1783598420.5652664,671,27.764558792114258,159,NORMAL,8,3
