frame_index,worker_model_count,worker_tid,aligned_sched_s,cpu,active_trace_nodes,stack_class,leaf,callchain
903,3,1646949,968511.6202527364,1,,其他路径,std::ios_base::_M_call_callbacks,std::ios_base::_M_call_callbacks+0x10 (/usr/lib/aarch64-linux-gnu/libstdc++.so.6.0.28); [unknown] (/opt/apollo/neo/packages/3rd-glog/9.0.0-alpha3-r1/lib/libglog.so.0.4.0)
903,3,1646949,968511.7000761782,5,,其他路径,futex_wake,futex_wake+0xd8 ([kernel.kallsyms]); do_futex+0x2bc ([kernel.kallsyms]); __arm64_sys_futex+0x124 ([kernel.kallsyms]); el0_svc_common.constprop.0+0x80 ([kernel.kallsyms]); do_el0_svc+0x38 ([kernel.kallsyms]); el0_svc+0x1c ([kernel.kallsyms]); el0_sync_handler+0xa8 ([kernel.kallsyms]); el0_sync+0x16c ([kernel.kallsyms]); __syslog_chk+0x74 (/usr/lib/aarch64-linux-gnu/libc-2.31.so); [unknown] (/opt/apollo/neo/lib/modules/prediction/libapollo_prediction.so)
904,1,1646951,968511.7566454482,5,cruise_mlp_inference;model_cruise_mlp,cuBLASLt启发式查询,[unknown],[unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); cublasLtSSSMatmulAlgoGetHeuristic+0x437 (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84)
904,2,1646960,968511.7269921728,4,cruise_mlp_inference;model_cruise_mlp,其他路径,[unknown],[unknown] (/usr/local/lib/libtcmalloc.so.4.5.16)
904,2,1646960,968511.8137018533,7,cruise_mlp_inference;model_cruise_mlp,cuDNN路径,cudnnDestroyFilterDescriptor,cudnnDestroyFilterDescriptor+0x0 (/usr/lib/aarch64-linux-gnu/libcudnn.so.8.6.0); [unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cuda.so)
904,2,1646960,968511.8410254641,5,,其他路径,futex_wake,futex_wake+0x88 ([kernel.kallsyms]); do_futex+0x2bc ([kernel.kallsyms]); __arm64_sys_futex+0x124 ([kernel.kallsyms]); el0_svc_common.constprop.0+0x80 ([kernel.kallsyms]); do_el0_svc+0x38 ([kernel.kallsyms]); el0_svc+0x1c ([kernel.kallsyms]); el0_sync_handler+0xa8 ([kernel.kallsyms]); el0_sync+0x16c ([kernel.kallsyms]); futex_wake+0x13c (inlined); __pthread_once_slow+0x13c (/usr/lib/aarch64-linux-gnu/libpthread-2.31.so); [unknown] (/opt/apollo/neo/lib/cyber/libcyber.so)
904,2,1646946,968511.7415417063,7,cruise_mlp_inference;model_cruise_mlp,libtorch CPU路径,[unknown],[unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so)
904,2,1646946,968511.7976661124,5,cruise_mlp_inference;model_cruise_mlp,其他路径,[unknown],[unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libc10_cuda.so)
904,2,1646946,968511.8277865873,6,cruise_mlp_inference;model_cruise_mlp,其他路径,__GI___exp,__GI___exp+0x0 (inlined); [unknown] (/opt/apollo/neo/lib/modules/prediction/libapollo_prediction.so)
904,3,1646950,968511.7271315008,6,cruise_mlp_inference;model_cruise_mlp,其他路径,[unknown],[unknown] (/opt/apollo/neo/packages/3rd-absl/9.2.0-beta-r1/lib/libabsl_str_format_internal.so.2206.0.0)
904,3,1646950,968511.7982146248,7,cruise_mlp_inference;model_cruise_mlp,libtorch CPU路径,[unknown],[unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so)
904,3,1646950,968511.8378677693,6,cruise_mlp_inference;model_cruise_mlp,libtorch CUDA路径,[unknown],[unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcudart.so.11.4.298); cudaLaunchKernel+0x263 (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcudart.so.11.4.298); [unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cuda.so)
905,1,1646942,968511.8902197601,6,cruise_mlp_inference;model_cruise_mlp,其他路径,[unknown],[unknown] (/usr/local/lib/libtcmalloc.so.4.5.16)
