frame_index,worker_model_count,worker_tid,model_ordinal,obstacle_id,model_duration_ms,inference_count,inference_sum_ms,running_ms,blocked_ms,runnable_ms,unknown_ms,max_runnable_ms,cpu_list,running_segment_count,stack_sample_count,stack_categories
903,1,1646943,1,28,18.389152,2,16.616992,8.599152904935181,7.872999995015562,1.9169989973306656,0,0.20899996161460876,0;1;3;4;5;6;7,103,0,
903,2,1646958,1,27,36.72736,3,27.534751999999997,11.988360085524619,21.90399938262999,2.8350005159154534,0,0.3100000321865082,0;1;3;4;5;6;7,125,0,
903,2,1646958,2,79,81.56496,3,69.753696,13.942959485575557,65.58000005315989,2.042000531218946,0,0.11599995195865631,0;1;3;6;7,102,2,libtorch CPU路径:1;其他路径:1
903,2,1646942,1,29,29.199456,2,27.263264,8.47045611590147,17.543000169098377,3.1859996961429715,0,0.4600000102072954,0;1;3;4;5;6;7,117,1,libtorch CUDA路径:1
903,2,1646942,2,77,84.371264,3,77.588,13.244263944216073,68.48400027956814,2.6429997524246573,0,0.48500008415430784,0;1;3;4;5;6;8,84,1,libtorch CPU路径:1
903,3,1646949,1,26,46.519136,3,39.360224,13.08213616721332,29.658001381903887,3.7789983907714486,0,0.2579999854788184,0;1;3;4;5;6;7,140,2,libtorch CPU路径:1;libtorch CUDA路径:1
903,3,1646949,2,74,66.460128,2,62.058080000000004,9.828127571381629,53.83700004313141,2.7950003277510405,0,0.27600000612437725,0;1;3;4;5;6,67,0,
903,3,1646949,3,78,13.263328,3,10.95232,9.249328169971704,3.5099999513477087,0.5039998795837164,0,0.050999922677874565,5;6;7,28,0,
904,1,1646951,1,28,85.858432,2,81.709344,9.431433281861246,71.61900005303323,4.807998659089208,0,0.7869999390095472,4;5;6;7,108,1,cuBLASLt启发式查询:1
904,2,1646960,1,29,73.484384,2,69.178016,8.796383859589696,61.99800013564527,2.689999993890524,0,0.5580000579357147,4;5;6;7,86,1,其他路径:1
904,2,1646960,2,77,44.629184,3,40.977024,11.186184012331069,30.66699975170195,2.7760001830756664,0,0.5029999883845448,4;5;6;7,104,1,cuDNN路径:1
904,2,1646946,1,27,95.822592,3,85.482208,13.445591903291643,79.56100010778755,2.816000021994114,0,0.28199993539601564,4;5;6;7,109,2,libtorch CPU路径:1;其他路径:1
904,2,1646946,2,79,21.538912,3,16.64256,10.188912390731275,10.13999991118908,1.2099997838959098,0,0.11999998241662979,4;5;6;7,87,1,其他路径:1
904,3,1646950,1,26,98.287136,3,83.238176,12.505136663094163,82.92399998754263,2.857999294064939,0,0.17499993555247784,4;5;6;7,113,2,libtorch CPU路径:1;其他路径:1
904,3,1646950,2,74,14.060544,2,12.976384,6.677544675767422,6.61199982278049,0.7709995843470097,0,0.04299997817724943,4;5;6;7,68,0,
904,3,1646950,3,78,11.946976,3,9.390272,8.188975974917412,3.2740000169724226,0.48400007653981447,0,0.06400002166628838,6,29,1,libtorch CUDA路径:1
905,1,1646942,1,28,55.694368,2,47.79136,7.86136812530458,46.40000010840595,1.432999735698104,0,0.41800003964453936,1;4;5;6;7,54,1,其他路径:1
905,2,1646958,1,27,86.257504,3,78.55593599999999,13.275503762997687,69.57100029103458,3.411000012420118,0,1.08299998100847,0;1;4;5;6;7,98,1,libtorch CPU路径:1
905,2,1646958,2,79,18.183456,3,15.909887999999999,9.282455313950777,6.232000305317342,2.6690002996474504,0,1.7399999778717756,4;5;6;7,51,3,libtorch CPU路径:2;其他路径:1
905,2,1646943,1,29,58.697088,2,55.215968000000004,7.888088119216263,48.971999902278185,1.8369999015703797,0,0.5370000144466758,4;5;6;7,52,2,CUDA异步内存复制:1;libtorch CPU路径:1
